     Target    Comparison          Layer      Distance
0        o1   o1_t1_cs_d1    AlexNet_fc6      6.092608
1        o1   o1_t1_cs_d1    AlexNet_fc7      0.393686
2        o1   o1_t1_cs_d1    AlexNet_fc8      0.691016
3        o1   o1_t1_cs_d1  AlexNet_conv4    114.542542
4        o1   o1_t1_cs_d1   AlexNet_prob      0.000114
5        o1   o1_t1_cs_d1  AlexNet_conv3    369.352570
6        o1   o1_t1_cs_d1  AlexNet_conv2    436.446411
7        o1   o1_t1_cs_d1  AlexNet_conv1   7140.590332
8        o1   o1_t1_cs_d1  AlexNet_conv5     20.672085
9        o1   o1_t1_cs_d1  AlexNet_norm2    601.808838
10       o1   o1_t1_cs_d1  AlexNet_pool2   1207.589355
11       o1   o1_t1_cs_d1  AlexNet_pool1  18836.656250
12       o1   o1_t1_cs_d1  AlexNet_norm1    616.979614
13       o1   o1_t1_cs_d1  AlexNet_pool5     65.355263
14       o1   o1_t1_cs_d2    AlexNet_fc6      3.694600
15       o1   o1_t1_cs_d2    AlexNet_fc7      0.300415
16       o1   o1_t1_cs_d2    AlexNet_fc8      0.752377
17       o1   o1_t1_cs_d2  AlexNet_conv4     55.037289
18       o1   o1_t1_cs_d2   AlexNet_prob      0.000056
19       o1   o1_t1_cs_d2  AlexNet_conv3    165.997589
20       o1   o1_t1_cs_d2  AlexNet_conv2    268.184235
21       o1   o1_t1_cs_d2  AlexNet_conv1   5439.019043
22       o1   o1_t1_cs_d2  AlexNet_conv5      8.977133
23       o1   o1_t1_cs_d2  AlexNet_norm2    290.881134
24       o1   o1_t1_cs_d2  AlexNet_pool2    561.220398
25       o1   o1_t1_cs_d2  AlexNet_pool1  11142.672852
26       o1   o1_t1_cs_d2  AlexNet_norm1    368.532684
27       o1   o1_t1_cs_d2  AlexNet_pool5     25.890465
28       o1   o1_t2_ap_d1    AlexNet_fc6      2.569705
29       o1   o1_t2_ap_d1    AlexNet_fc7      0.155168
30       o1   o1_t2_ap_d1    AlexNet_fc8      0.271916
31       o1   o1_t2_ap_d1  AlexNet_conv4     36.402893
32       o1   o1_t2_ap_d1   AlexNet_prob      0.000046
33       o1   o1_t2_ap_d1  AlexNet_conv3    103.792648
34       o1   o1_t2_ap_d1  AlexNet_conv2    133.431915
35       o1   o1_t2_ap_d1  AlexNet_conv1   2083.263184
36       o1   o1_t2_ap_d1  AlexNet_conv5      7.380523
37       o1   o1_t2_ap_d1  AlexNet_norm2    184.181183
38       o1   o1_t2_ap_d1  AlexNet_pool2    369.781586
39       o1   o1_t2_ap_d1  AlexNet_pool1   5014.535645
40       o1   o1_t2_ap_d1  AlexNet_norm1    216.013123
41       o1   o1_t2_ap_d1  AlexNet_pool5     22.042643
42       o1   o1_t2_ap_d2    AlexNet_fc6      4.073242
43       o1   o1_t2_ap_d2    AlexNet_fc7      0.239019
44       o1   o1_t2_ap_d2    AlexNet_fc8      0.499541
45       o1   o1_t2_ap_d2  AlexNet_conv4    106.259369
46       o1   o1_t2_ap_d2   AlexNet_prob      0.000034
47       o1   o1_t2_ap_d2  AlexNet_conv3    354.485077
48       o1   o1_t2_ap_d2  AlexNet_conv2    462.826599
49       o1   o1_t2_ap_d2  AlexNet_conv1   7399.203125
50       o1   o1_t2_ap_d2  AlexNet_conv5     18.916845
51       o1   o1_t2_ap_d2  AlexNet_norm2    589.136353
52       o1   o1_t2_ap_d2  AlexNet_pool2   1185.187988
53       o1   o1_t2_ap_d2  AlexNet_pool1  20777.921875
54       o1   o1_t2_ap_d2  AlexNet_norm1    642.168640
55       o1   o1_t2_ap_d2  AlexNet_pool5     54.888412
56       o1   o1_t2_mf_d1    AlexNet_fc6      5.440549
57       o1   o1_t2_mf_d1    AlexNet_fc7      0.354108
58       o1   o1_t2_mf_d1    AlexNet_fc8      0.639063
59       o1   o1_t2_mf_d1  AlexNet_conv4     72.559692
60       o1   o1_t2_mf_d1   AlexNet_prob      0.000109
61       o1   o1_t2_mf_d1  AlexNet_conv3    204.195541
62       o1   o1_t2_mf_d1  AlexNet_conv2    269.246552
63       o1   o1_t2_mf_d1  AlexNet_conv1   4597.661621
64       o1   o1_t2_mf_d1  AlexNet_conv5     14.868644
65       o1   o1_t2_mf_d1  AlexNet_norm2    350.213837
66       o1   o1_t2_mf_d1  AlexNet_pool2    704.882568
67       o1   o1_t2_mf_d1  AlexNet_pool1  10690.134766
68       o1   o1_t2_mf_d1  AlexNet_norm1    419.691620
69       o1   o1_t2_mf_d1  AlexNet_pool5     44.025188
70       o1   o1_t2_mf_d2    AlexNet_fc6      1.849629
71       o1   o1_t2_mf_d2    AlexNet_fc7      0.146845
72       o1   o1_t2_mf_d2    AlexNet_fc8      0.308996
73       o1   o1_t2_mf_d2  AlexNet_conv4     33.828663
74       o1   o1_t2_mf_d2   AlexNet_prob      0.000024
75       o1   o1_t2_mf_d2  AlexNet_conv3    104.643082
76       o1   o1_t2_mf_d2  AlexNet_conv2    159.674454
77       o1   o1_t2_mf_d2  AlexNet_conv1   3547.835205
78       o1   o1_t2_mf_d2  AlexNet_conv5      5.751108
79       o1   o1_t2_mf_d2  AlexNet_norm2    187.834778
80       o1   o1_t2_mf_d2  AlexNet_pool2    362.562286
81       o1   o1_t2_mf_d2  AlexNet_pool1   6459.978027
82       o1   o1_t2_mf_d2  AlexNet_norm1    253.872879
83       o1   o1_t2_mf_d2  AlexNet_pool5     15.135245
84       o1   o1_t2_rp_d1    AlexNet_fc6      5.520717
85       o1   o1_t2_rp_d1    AlexNet_fc7      0.527074
86       o1   o1_t2_rp_d1    AlexNet_fc8      1.192587
87       o1   o1_t2_rp_d1  AlexNet_conv4     66.109108
88       o1   o1_t2_rp_d1   AlexNet_prob      0.000109
89       o1   o1_t2_rp_d1  AlexNet_conv3    217.991516
90       o1   o1_t2_rp_d1  AlexNet_conv2    298.968781
91       o1   o1_t2_rp_d1  AlexNet_conv1   5320.807129
92       o1   o1_t2_rp_d1  AlexNet_conv5     11.461261
93       o1   o1_t2_rp_d1  AlexNet_norm2    357.899414
94       o1   o1_t2_rp_d1  AlexNet_pool2    727.006531
95       o1   o1_t2_rp_d1  AlexNet_pool1  11622.936523
96       o1   o1_t2_rp_d1  AlexNet_norm1    404.228394
97       o1   o1_t2_rp_d1  AlexNet_pool5     37.391800
98       o1   o1_t2_rp_d2    AlexNet_fc6      5.901022
99       o1   o1_t2_rp_d2    AlexNet_fc7      0.318455
100      o1   o1_t2_rp_d2    AlexNet_fc8      0.490187
101      o1   o1_t2_rp_d2  AlexNet_conv4    124.518402
102      o1   o1_t2_rp_d2   AlexNet_prob      0.000040
103      o1   o1_t2_rp_d2  AlexNet_conv3    371.485962
104      o1   o1_t2_rp_d2  AlexNet_conv2    420.258026
105      o1   o1_t2_rp_d2  AlexNet_conv1   6412.345703
106      o1   o1_t2_rp_d2  AlexNet_conv5     23.327162
107      o1   o1_t2_rp_d2  AlexNet_norm2    622.060486
108      o1   o1_t2_rp_d2  AlexNet_pool2   1203.675171
109      o1   o1_t2_rp_d2  AlexNet_pool1  19500.605469
110      o1   o1_t2_rp_d2  AlexNet_norm1    638.529846
111      o1   o1_t2_rp_d2  AlexNet_pool5     66.750511
112      o2   o2_t1_cs_d1    AlexNet_fc6     12.547894
113      o2   o2_t1_cs_d1    AlexNet_fc7      0.997033
114      o2   o2_t1_cs_d1    AlexNet_fc8      2.703445
115      o2   o2_t1_cs_d1  AlexNet_conv4    129.859085
116      o2   o2_t1_cs_d1   AlexNet_prob      0.000272
117      o2   o2_t1_cs_d1  AlexNet_conv3    429.403046
118      o2   o2_t1_cs_d1  AlexNet_conv2    507.239441
119      o2   o2_t1_cs_d1  AlexNet_conv1   8491.029297
120      o2   o2_t1_cs_d1  AlexNet_conv5     26.082380
121      o2   o2_t1_cs_d1  AlexNet_norm2    733.438354
122      o2   o2_t1_cs_d1  AlexNet_pool2   1498.997681
123      o2   o2_t1_cs_d1  AlexNet_pool1  26640.558594
124      o2   o2_t1_cs_d1  AlexNet_norm1    752.320374
125      o2   o2_t1_cs_d1  AlexNet_pool5     84.503342
126      o2   o2_t1_cs_d2    AlexNet_fc6      8.953270
127      o2   o2_t1_cs_d2    AlexNet_fc7      0.581119
128      o2   o2_t1_cs_d2    AlexNet_fc8      0.989793
129      o2   o2_t1_cs_d2  AlexNet_conv4    136.734833
130      o2   o2_t1_cs_d2   AlexNet_prob      0.000185
131      o2   o2_t1_cs_d2  AlexNet_conv3    416.117371
132      o2   o2_t1_cs_d2  AlexNet_conv2    485.493866
133      o2   o2_t1_cs_d2  AlexNet_conv1   8427.349609
134      o2   o2_t1_cs_d2  AlexNet_conv5     25.522148
135      o2   o2_t1_cs_d2  AlexNet_norm2    680.377869
136      o2   o2_t1_cs_d2  AlexNet_pool2   1366.539185
137      o2   o2_t1_cs_d2  AlexNet_pool1  26761.652344
138      o2   o2_t1_cs_d2  AlexNet_norm1    697.017029
139      o2   o2_t1_cs_d2  AlexNet_pool5     82.779350
140      o2   o2_t2_ap_d1    AlexNet_fc6      6.062948
141      o2   o2_t2_ap_d1    AlexNet_fc7      0.384877
142      o2   o2_t2_ap_d1    AlexNet_fc8      0.652564
143      o2   o2_t2_ap_d1  AlexNet_conv4    102.694588
144      o2   o2_t2_ap_d1   AlexNet_prob      0.000214
145      o2   o2_t2_ap_d1  AlexNet_conv3    321.893311
146      o2   o2_t2_ap_d1  AlexNet_conv2    450.383087
147      o2   o2_t2_ap_d1  AlexNet_conv1   8058.195801
148      o2   o2_t2_ap_d1  AlexNet_conv5     20.692638
149      o2   o2_t2_ap_d1  AlexNet_norm2    523.894531
150      o2   o2_t2_ap_d1  AlexNet_pool2   1060.334473
151      o2   o2_t2_ap_d1  AlexNet_pool1  24423.582031
152      o2   o2_t2_ap_d1  AlexNet_norm1    632.126831
153      o2   o2_t2_ap_d1  AlexNet_pool5     56.903748
154      o2   o2_t2_ap_d2    AlexNet_fc6      8.989987
155      o2   o2_t2_ap_d2    AlexNet_fc7      0.658465
156      o2   o2_t2_ap_d2    AlexNet_fc8      1.377476
157      o2   o2_t2_ap_d2  AlexNet_conv4    157.780121
158      o2   o2_t2_ap_d2   AlexNet_prob      0.000259
159      o2   o2_t2_ap_d2  AlexNet_conv3    502.045258
160      o2   o2_t2_ap_d2  AlexNet_conv2    583.281311
161      o2   o2_t2_ap_d2  AlexNet_conv1   8801.807617
162      o2   o2_t2_ap_d2  AlexNet_conv5     30.550865
163      o2   o2_t2_ap_d2  AlexNet_norm2    849.198853
164      o2   o2_t2_ap_d2  AlexNet_pool2   1760.473511
165      o2   o2_t2_ap_d2  AlexNet_pool1  29708.910156
166      o2   o2_t2_ap_d2  AlexNet_norm1    830.024353
167      o2   o2_t2_ap_d2  AlexNet_pool5     87.395233
168      o2   o2_t2_mf_d1    AlexNet_fc6      8.816048
169      o2   o2_t2_mf_d1    AlexNet_fc7      0.615479
170      o2   o2_t2_mf_d1    AlexNet_fc8      1.093209
171      o2   o2_t2_mf_d1  AlexNet_conv4    137.784744
172      o2   o2_t2_mf_d1   AlexNet_prob      0.000243
173      o2   o2_t2_mf_d1  AlexNet_conv3    426.341400
174      o2   o2_t2_mf_d1  AlexNet_conv2    503.676727
175      o2   o2_t2_mf_d1  AlexNet_conv1   7951.049805
176      o2   o2_t2_mf_d1  AlexNet_conv5     26.627689
177      o2   o2_t2_mf_d1  AlexNet_norm2    715.199768
178      o2   o2_t2_mf_d1  AlexNet_pool2   1436.962769
179      o2   o2_t2_mf_d1  AlexNet_pool1  25527.533203
180      o2   o2_t2_mf_d1  AlexNet_norm1    729.471436
181      o2   o2_t2_mf_d1  AlexNet_pool5     82.021172
182      o2   o2_t2_mf_d2    AlexNet_fc6      9.596726
183      o2   o2_t2_mf_d2    AlexNet_fc7      0.716402
184      o2   o2_t2_mf_d2    AlexNet_fc8      1.769237
185      o2   o2_t2_mf_d2  AlexNet_conv4    127.344643
