      Comparison1   Comparison2  Align_NoAlignment_Prediction  Align_AffineImage_Prediction  Align_AffineFeature_Prediction  Align_CenteredScaled_Prediction
0     o1_t1_cs_d1   o1_t1_cs_d2                             0                             0                               0                                0
1     o1_t1_cs_d1   o1_t2_ap_d1                             0                             0                               0                                0
2     o1_t1_cs_d1   o1_t2_ap_d2                             0                             0                               0                                0
3     o1_t1_cs_d1   o1_t2_mf_d1                             0                             0                               0                                0
4     o1_t1_cs_d1   o1_t2_mf_d2                             0                             0                               0                                0
5     o1_t1_cs_d1   o1_t2_rp_d1                             0                             0                               0                                0
6     o1_t1_cs_d1   o1_t2_rp_d2                             1                             0                               1                                0
7     o1_t1_cs_d2   o1_t2_ap_d1                             0                             1                               0                                0
8     o1_t1_cs_d2   o1_t2_ap_d2                             1                             1                               1                                1
9     o1_t1_cs_d2   o1_t2_mf_d1                             0                             1                               0                                1
10    o1_t1_cs_d2   o1_t2_mf_d2                             0                             1                               0                                0
11    o1_t1_cs_d2   o1_t2_rp_d1                             0                             1                               0                                1
12    o1_t1_cs_d2   o1_t2_rp_d2                             1                             0                               1                                1
13    o1_t2_ap_d1   o1_t2_ap_d2                             1                             0                               1                                1
14    o1_t2_ap_d1   o1_t2_mf_d1                             1                             1                               1                                1
15    o1_t2_ap_d1   o1_t2_mf_d2                             1                             0                               1                                0
16    o1_t2_ap_d1   o1_t2_rp_d1                             1                             0                               1                                1
17    o1_t2_ap_d1   o1_t2_rp_d2                             1                             0                               1                                1
18    o1_t2_ap_d2   o1_t2_mf_d1                             0                             1                               0                                0
19    o1_t2_ap_d2   o1_t2_mf_d2                             0                             0                               0                                0
20    o1_t2_ap_d2   o1_t2_rp_d1                             0                             0                               0                                0
21    o1_t2_ap_d2   o1_t2_rp_d2                             1                             0                               1                                0
22    o1_t2_mf_d1   o1_t2_mf_d2                             1                             0                               1                                0
23    o1_t2_mf_d1   o1_t2_rp_d1                             1                             0                               1                                0
24    o1_t2_mf_d1   o1_t2_rp_d2                             1                             0                               1                                1
25    o1_t2_mf_d2   o1_t2_rp_d1                             1                             0                               1                                1
26    o1_t2_mf_d2   o1_t2_rp_d2                             1                             0                               1                                1
27    o1_t2_rp_d1   o1_t2_rp_d2                             1                             0                               1                                1
28    o2_t1_cs_d1   o2_t1_cs_d2                             1                             0                               1                                1
29    o2_t1_cs_d1   o2_t2_ap_d1                             1                             0                               1                                1
30    o2_t1_cs_d1   o2_t2_ap_d2                             0                             0                               0                                1
31    o2_t1_cs_d1   o2_t2_mf_d1                             0                             0                               0                                1
32    o2_t1_cs_d1   o2_t2_mf_d2                             1                             0                               1                                1
33    o2_t1_cs_d1   o2_t2_rp_d1                             0                             0                               0                                1
34    o2_t1_cs_d1   o2_t2_rp_d2                             0                             0                               0                                0
35    o2_t1_cs_d2   o2_t2_ap_d1                             1                             1                               0                                0
36    o2_t1_cs_d2   o2_t2_ap_d2                             0                             1                               0                                1
37    o2_t1_cs_d2   o2_t2_mf_d1                             0                             1                               0                                1
38    o2_t1_cs_d2   o2_t2_mf_d2                             1                             0                               0                                0
39    o2_t1_cs_d2   o2_t2_rp_d1                             0                             0                               0                                0
40    o2_t1_cs_d2   o2_t2_rp_d2                             0                             0                               0                                0
41    o2_t2_ap_d1   o2_t2_ap_d2                             0                             1                               0                                1
42    o2_t2_ap_d1   o2_t2_mf_d1                             0                             0                               0                                1
43    o2_t2_ap_d1   o2_t2_mf_d2                             1                             0                               1                                1
44    o2_t2_ap_d1   o2_t2_rp_d1                             0                             0                               0                                1
45    o2_t2_ap_d1   o2_t2_rp_d2                             0                             0                               0                                0
46    o2_t2_ap_d2   o2_t2_mf_d1                             1                             0                               1                                0
47    o2_t2_ap_d2   o2_t2_mf_d2                             1                             0                               1                                0
48    o2_t2_ap_d2   o2_t2_rp_d1                             1                             0                               1                                0
49    o2_t2_ap_d2   o2_t2_rp_d2                             0                             0                               0                                0
50    o2_t2_mf_d1   o2_t2_mf_d2                             1                             0                               1                                0
51    o2_t2_mf_d1   o2_t2_rp_d1                             1                             0                               1                                0
52    o2_t2_mf_d1   o2_t2_rp_d2                             0                             0                               0                                0
53    o2_t2_mf_d2   o2_t2_rp_d1                             0                             0                               0                                0
54    o2_t2_mf_d2   o2_t2_rp_d2                             0                             1                               0                                0
55    o2_t2_rp_d1   o2_t2_rp_d2                             0                             1                               0                                0
56    o3_t1_cs_d1   o3_t1_cs_d2                             0                             1                               0                                0
57    o3_t1_cs_d1   o3_t2_ap_d1                             0                             1                               0                                0
58    o3_t1_cs_d1   o3_t2_ap_d2                             0                             1                               0                                0
59    o3_t1_cs_d1   o3_t2_mf_d1                             0                             1                               0                                0
60    o3_t1_cs_d1   o3_t2_mf_d2                             0                             1                               0                                0
61    o3_t1_cs_d1   o3_t2_rp_d1                             1                             1                               1                                0
62    o3_t1_cs_d1   o3_t2_rp_d2                             1                             1                               1                                0
63    o3_t1_cs_d2   o3_t2_ap_d1                             0                             1                               0                                1
64    o3_t1_cs_d2   o3_t2_ap_d2                             0                             1                               0                                0
65    o3_t1_cs_d2   o3_t2_mf_d1                             0                             0                               0                                0
66    o3_t1_cs_d2   o3_t2_mf_d2                             0                             1                               0                                0
67    o3_t1_cs_d2   o3_t2_rp_d1                             1                             0                               1                                0
68    o3_t1_cs_d2   o3_t2_rp_d2                             1                             1                               1                                0
69    o3_t2_ap_d1   o3_t2_ap_d2                             0                             0                               0                                0
70    o3_t2_ap_d1   o3_t2_mf_d1                             0                             0                               0                                0
71    o3_t2_ap_d1   o3_t2_mf_d2                             0                             0                               0                                0
72    o3_t2_ap_d1   o3_t2_rp_d1                             1                             0                               1                                0
73    o3_t2_ap_d1   o3_t2_rp_d2                             1                             0                               1                                0
74    o3_t2_ap_d2   o3_t2_mf_d1                             0                             0                               0                                0
75    o3_t2_ap_d2   o3_t2_mf_d2                             1                             1                               1                                0
76    o3_t2_ap_d2   o3_t2_rp_d1                             1                             0                               1                                0
77    o3_t2_ap_d2   o3_t2_rp_d2                             1                             0                               1                                0
78    o3_t2_mf_d1   o3_t2_mf_d2                             1                             1                               1                                1
79    o3_t2_mf_d1   o3_t2_rp_d1                             1                             0                               1                                0
80    o3_t2_mf_d1   o3_t2_rp_d2                             1                             1                               1                                1
81    o3_t2_mf_d2   o3_t2_rp_d1                             1                             0                               1                                0
82    o3_t2_mf_d2   o3_t2_rp_d2                             1                             0                               1                                0
83    o3_t2_rp_d1   o3_t2_rp_d2                             0                             1                               0                                1
84    o4_t1_cs_d1   o4_t1_cs_d2                             0                             1                               0                                0
85    o4_t1_cs_d1   o4_t2_ap_d1                             0                             1                               1                                1
86    o4_t1_cs_d1   o4_t2_ap_d2                             0                             1                               0                                0
87    o4_t1_cs_d1   o4_t2_mf_d1                             1                             1                               1                                1
88    o4_t1_cs_d1   o4_t2_mf_d2                             0                             1                               0                                0
89    o4_t1_cs_d1   o4_t2_rp_d1                             1                             0                               1                                0
90    o4_t1_cs_d1   o4_t2_rp_d2                             0                             1                               0                                0
91    o4_t1_cs_d2   o4_t2_ap_d1                             1                             1                               1                                1
92    o4_t1_cs_d2   o4_t2_ap_d2                             0                             1                               0                                0
93    o4_t1_cs_d2   o4_t2_mf_d1                             1                             1                               1                                1
94    o4_t1_cs_d2   o4_t2_mf_d2                             0                             1                               1                                0
95    o4_t1_cs_d2   o4_t2_rp_d1                             1                             0                               1                                0
96    o4_t1_cs_d2   o4_t2_rp_d2                             1                             1                               1                                1
97    o4_t2_ap_d1   o4_t2_ap_d2                             0                             0                               0                                0
98    o4_t2_ap_d1   o4_t2_mf_d1                             1                             0                               1                                1
99    o4_t2_ap_d1   o4_t2_mf_d2                             0                             0                               0                                0
100   o4_t2_ap_d1   o4_t2_rp_d1                             1                             0                               1                                0
