      Target    Comparison          Layer      Distance
0         o1   o1_t1_cs_d1    AlexNet_fc6      6.092608
1         o1   o1_t1_cs_d1    AlexNet_fc7      0.393686
2         o1   o1_t1_cs_d1    AlexNet_fc8      0.691016
3         o1   o1_t1_cs_d1  AlexNet_conv4    114.542542
4         o1   o1_t1_cs_d1   AlexNet_prob      0.000114
5         o1   o1_t1_cs_d1  AlexNet_conv3    369.352570
6         o1   o1_t1_cs_d1  AlexNet_conv2    436.446411
7         o1   o1_t1_cs_d1  AlexNet_conv1   7140.590332
8         o1   o1_t1_cs_d1  AlexNet_conv5     20.672085
9         o1   o1_t1_cs_d1  AlexNet_norm2    601.808838
10        o1   o1_t1_cs_d1  AlexNet_pool2   1207.589355
11        o1   o1_t1_cs_d1  AlexNet_pool1  18836.656250
12        o1   o1_t1_cs_d1  AlexNet_norm1    616.979614
13        o1   o1_t1_cs_d1  AlexNet_pool5     65.355263
14        o1   o2_t1_cs_d1    AlexNet_fc6      8.680378
15        o1   o2_t1_cs_d1    AlexNet_fc7      0.621987
16        o1   o2_t1_cs_d1    AlexNet_fc8      1.489945
17        o1   o2_t1_cs_d1  AlexNet_conv4    117.629189
18        o1   o2_t1_cs_d1   AlexNet_prob      0.000039
19        o1   o2_t1_cs_d1  AlexNet_conv3    375.868164
20        o1   o2_t1_cs_d1  AlexNet_conv2    464.219635
21        o1   o2_t1_cs_d1  AlexNet_conv1   8125.980469
22        o1   o2_t1_cs_d1  AlexNet_conv5     21.275520
23        o1   o2_t1_cs_d1  AlexNet_norm2    618.142822
24        o1   o2_t1_cs_d1  AlexNet_pool2   1236.274902
25        o1   o2_t1_cs_d1  AlexNet_pool1  23146.384766
26        o1   o2_t1_cs_d1  AlexNet_norm1    693.971069
27        o1   o2_t1_cs_d1  AlexNet_pool5     70.353325
28        o1   o3_t1_cs_d1    AlexNet_fc6      7.591361
29        o1   o3_t1_cs_d1    AlexNet_fc7      0.438573
30        o1   o3_t1_cs_d1    AlexNet_fc8      0.699567
31        o1   o3_t1_cs_d1  AlexNet_conv4    110.002304
32        o1   o3_t1_cs_d1   AlexNet_prob      0.000035
33        o1   o3_t1_cs_d1  AlexNet_conv3    338.653900
34        o1   o3_t1_cs_d1  AlexNet_conv2    402.770905
35        o1   o3_t1_cs_d1  AlexNet_conv1   7220.122559
36        o1   o3_t1_cs_d1  AlexNet_conv5     19.375093
37        o1   o3_t1_cs_d1  AlexNet_norm2    564.318604
38        o1   o3_t1_cs_d1  AlexNet_pool2   1086.033691
39        o1   o3_t1_cs_d1  AlexNet_pool1  23420.734375
40        o1   o3_t1_cs_d1  AlexNet_norm1    601.564392
41        o1   o3_t1_cs_d1  AlexNet_pool5     60.834377
42        o1   o4_t1_cs_d1    AlexNet_fc6      7.586199
43        o1   o4_t1_cs_d1    AlexNet_fc7      0.423884
44        o1   o4_t1_cs_d1    AlexNet_fc8      0.587738
45        o1   o4_t1_cs_d1  AlexNet_conv4    134.819977
46        o1   o4_t1_cs_d1   AlexNet_prob      0.000059
47        o1   o4_t1_cs_d1  AlexNet_conv3    422.218140
48        o1   o4_t1_cs_d1  AlexNet_conv2    520.066406
49        o1   o4_t1_cs_d1  AlexNet_conv1   8537.795898
50        o1   o4_t1_cs_d1  AlexNet_conv5     23.064734
51        o1   o4_t1_cs_d1  AlexNet_norm2    717.677307
52        o1   o4_t1_cs_d1  AlexNet_pool2   1437.571045
53        o1   o4_t1_cs_d1  AlexNet_pool1  27129.005859
54        o1   o4_t1_cs_d1  AlexNet_norm1    773.958313
55        o1   o4_t1_cs_d1  AlexNet_pool5     69.985237
56        o1   o5_t1_cs_d1    AlexNet_fc6      6.758595
57        o1   o5_t1_cs_d1    AlexNet_fc7      0.396210
58        o1   o5_t1_cs_d1    AlexNet_fc8      0.825012
59        o1   o5_t1_cs_d1  AlexNet_conv4    131.988968
60        o1   o5_t1_cs_d1   AlexNet_prob      0.000090
61        o1   o5_t1_cs_d1  AlexNet_conv3    405.740326
62        o1   o5_t1_cs_d1  AlexNet_conv2    493.602722
63        o1   o5_t1_cs_d1  AlexNet_conv1   8370.575195
64        o1   o5_t1_cs_d1  AlexNet_conv5     23.659519
65        o1   o5_t1_cs_d1  AlexNet_norm2    669.495300
66        o1   o5_t1_cs_d1  AlexNet_pool2   1301.282471
67        o1   o5_t1_cs_d1  AlexNet_pool1  24523.726562
68        o1   o5_t1_cs_d1  AlexNet_norm1    719.416992
69        o1   o5_t1_cs_d1  AlexNet_pool5     73.030235
70        o1   o6_t1_cs_d1    AlexNet_fc6      9.151224
71        o1   o6_t1_cs_d1    AlexNet_fc7      0.598402
72        o1   o6_t1_cs_d1    AlexNet_fc8      1.274145
73        o1   o6_t1_cs_d1  AlexNet_conv4    145.721680
74        o1   o6_t1_cs_d1   AlexNet_prob      0.000030
75        o1   o6_t1_cs_d1  AlexNet_conv3    459.629059
76        o1   o6_t1_cs_d1  AlexNet_conv2    498.918762
77        o1   o6_t1_cs_d1  AlexNet_conv1   7933.423340
78        o1   o6_t1_cs_d1  AlexNet_conv5     25.297915
79        o1   o6_t1_cs_d1  AlexNet_norm2    768.822388
80        o1   o6_t1_cs_d1  AlexNet_pool2   1497.577515
81        o1   o6_t1_cs_d1  AlexNet_pool1  27297.162109
82        o1   o6_t1_cs_d1  AlexNet_norm1    765.463440
83        o1   o6_t1_cs_d1  AlexNet_pool5     78.923714
84        o1   o7_t1_cs_d1    AlexNet_fc6      8.795979
85        o1   o7_t1_cs_d1    AlexNet_fc7      0.433321
86        o1   o7_t1_cs_d1    AlexNet_fc8      0.643402
87        o1   o7_t1_cs_d1  AlexNet_conv4    154.478134
88        o1   o7_t1_cs_d1   AlexNet_prob      0.000048
89        o1   o7_t1_cs_d1  AlexNet_conv3    512.612488
90        o1   o7_t1_cs_d1  AlexNet_conv2    592.801514
91        o1   o7_t1_cs_d1  AlexNet_conv1   9150.511719
92        o1   o7_t1_cs_d1  AlexNet_conv5     28.043234
93        o1   o7_t1_cs_d1  AlexNet_norm2    854.960083
94        o1   o7_t1_cs_d1  AlexNet_pool2   1712.225586
95        o1   o7_t1_cs_d1  AlexNet_pool1  31435.658203
96        o1   o7_t1_cs_d1  AlexNet_norm1    891.185242
97        o1   o7_t1_cs_d1  AlexNet_pool5     82.489738
98        o1   o8_t1_cs_d1    AlexNet_fc6      9.124704
99        o1   o8_t1_cs_d1    AlexNet_fc7      0.539165
100       o1   o8_t1_cs_d1    AlexNet_fc8      0.887444
101       o1   o8_t1_cs_d1  AlexNet_conv4    141.926834
102       o1   o8_t1_cs_d1   AlexNet_prob      0.000127
103       o1   o8_t1_cs_d1  AlexNet_conv3    436.722443
104       o1   o8_t1_cs_d1  AlexNet_conv2    543.816467
105       o1   o8_t1_cs_d1  AlexNet_conv1   8823.062500
106       o1   o8_t1_cs_d1  AlexNet_conv5     25.933229
107       o1   o8_t1_cs_d1  AlexNet_norm2    734.115967
108       o1   o8_t1_cs_d1  AlexNet_pool2   1450.220093
109       o1   o8_t1_cs_d1  AlexNet_pool1  28475.214844
110       o1   o8_t1_cs_d1  AlexNet_norm1    808.693115
111       o1   o8_t1_cs_d1  AlexNet_pool5     78.471298
112       o1   o9_t1_cs_d1    AlexNet_fc6      7.110570
113       o1   o9_t1_cs_d1    AlexNet_fc7      0.478528
114       o1   o9_t1_cs_d1    AlexNet_fc8      0.928518
115       o1   o9_t1_cs_d1  AlexNet_conv4    129.012787
116       o1   o9_t1_cs_d1   AlexNet_prob      0.000030
117       o1   o9_t1_cs_d1  AlexNet_conv3    396.086151
118       o1   o9_t1_cs_d1  AlexNet_conv2    448.884399
119       o1   o9_t1_cs_d1  AlexNet_conv1   7587.483887
120       o1   o9_t1_cs_d1  AlexNet_conv5     21.776823
121       o1   o9_t1_cs_d1  AlexNet_norm2    653.216370
122       o1   o9_t1_cs_d1  AlexNet_pool2   1241.051147
123       o1   o9_t1_cs_d1  AlexNet_pool1  25866.511719
124       o1   o9_t1_cs_d1  AlexNet_norm1    686.032654
125       o1   o9_t1_cs_d1  AlexNet_pool5     59.498142
126       o1  o10_t1_cs_d1    AlexNet_fc6     14.070077
127       o1  o10_t1_cs_d1    AlexNet_fc7      0.813290
128       o1  o10_t1_cs_d1    AlexNet_fc8      1.335200
129       o1  o10_t1_cs_d1  AlexNet_conv4    193.886307
130       o1  o10_t1_cs_d1   AlexNet_prob      0.000040
131       o1  o10_t1_cs_d1  AlexNet_conv3    615.369568
132       o1  o10_t1_cs_d1  AlexNet_conv2    672.037659
133       o1  o10_t1_cs_d1  AlexNet_conv1  10997.658203
134       o1  o10_t1_cs_d1  AlexNet_conv5     37.002384
135       o1  o10_t1_cs_d1  AlexNet_norm2   1032.399170
136       o1  o10_t1_cs_d1  AlexNet_pool2   2018.791382
137       o1  o10_t1_cs_d1  AlexNet_pool1  36284.601562
138       o1  o10_t1_cs_d1  AlexNet_norm1   1094.872314
139       o1  o10_t1_cs_d1  AlexNet_pool5    121.030968
140       o1   o1_t1_cs_d2    AlexNet_fc6      3.694600
141       o1   o1_t1_cs_d2    AlexNet_fc7      0.300415
142       o1   o1_t1_cs_d2    AlexNet_fc8      0.752377
143       o1   o1_t1_cs_d2  AlexNet_conv4     55.037289
144       o1   o1_t1_cs_d2   AlexNet_prob      0.000056
145       o1   o1_t1_cs_d2  AlexNet_conv3    165.997589
146       o1   o1_t1_cs_d2  AlexNet_conv2    268.184235
147       o1   o1_t1_cs_d2  AlexNet_conv1   5439.019043
148       o1   o1_t1_cs_d2  AlexNet_conv5      8.977133
149       o1   o1_t1_cs_d2  AlexNet_norm2    290.881134
150       o1   o1_t1_cs_d2  AlexNet_pool2    561.220398
151       o1   o1_t1_cs_d2  AlexNet_pool1  11142.672852
152       o1   o1_t1_cs_d2  AlexNet_norm1    368.532684
153       o1   o1_t1_cs_d2  AlexNet_pool5     25.890465
154       o1   o2_t1_cs_d2    AlexNet_fc6      7.712507
155       o1   o2_t1_cs_d2    AlexNet_fc7      0.532148
156       o1   o2_t1_cs_d2    AlexNet_fc8      1.018145
157       o1   o2_t1_cs_d2  AlexNet_conv4    130.069229
158       o1   o2_t1_cs_d2   AlexNet_prob      0.000060
159       o1   o2_t1_cs_d2  AlexNet_conv3    391.495758
160       o1   o2_t1_cs_d2  AlexNet_conv2    477.342926
161       o1   o2_t1_cs_d2  AlexNet_conv1   8722.361328
162       o1   o2_t1_cs_d2  AlexNet_conv5     22.000223
163       o1   o2_t1_cs_d2  AlexNet_norm2    631.077026
164       o1   o2_t1_cs_d2  AlexNet_pool2   1222.229980
165       o1   o2_t1_cs_d2  AlexNet_pool1  27559.324219
166       o1   o2_t1_cs_d2  AlexNet_norm1    696.865173
167       o1   o2_t1_cs_d2  AlexNet_pool5     60.753723
168       o1   o3_t1_cs_d2    AlexNet_fc6      9.362598
169       o1   o3_t1_cs_d2    AlexNet_fc7      0.631129
170       o1   o3_t1_cs_d2    AlexNet_fc8      1.076577
171       o1   o3_t1_cs_d2  AlexNet_conv4    118.489304
172       o1   o3_t1_cs_d2   AlexNet_prob      0.000023
173       o1   o3_t1_cs_d2  AlexNet_conv3    376.541107
174       o1   o3_t1_cs_d2  AlexNet_conv2    444.717682
175       o1   o3_t1_cs_d2  AlexNet_conv1   7565.513184
176       o1   o3_t1_cs_d2  AlexNet_conv5     20.875950
177       o1   o3_t1_cs_d2  AlexNet_norm2    628.054199
178       o1   o3_t1_cs_d2  AlexNet_pool2   1211.642090
179       o1   o3_t1_cs_d2  AlexNet_pool1  24565.082031
180       o1   o3_t1_cs_d2  AlexNet_norm1    653.733948
181       o1   o3_t1_cs_d2  AlexNet_pool5     67.085045
182       o1   o4_t1_cs_d2    AlexNet_fc6      7.467234
183       o1   o4_t1_cs_d2    AlexNet_fc7      0.441203
184       o1   o4_t1_cs_d2    AlexNet_fc8      0.630236
185       o1   o4_t1_cs_d2  AlexNet_conv4    121.257835
