     Target    Comparison          Layer      Distance  DistanceInverted
0        o1   o1_t1_cs_d1    AlexNet_fc6      6.092608          9.017096
1        o1   o1_t1_cs_d1    AlexNet_fc7      0.393686          0.509491
2        o1   o1_t1_cs_d1    AlexNet_fc8      0.691016          0.808190
3        o1   o1_t1_cs_d1  AlexNet_conv4    114.542542        140.281067
4        o1   o1_t1_cs_d1   AlexNet_prob      0.000114          0.000046
5        o1   o1_t1_cs_d1  AlexNet_conv3    369.352570        472.840240
6        o1   o1_t1_cs_d1  AlexNet_conv2    436.446411        551.896545
7        o1   o1_t1_cs_d1  AlexNet_conv1   7140.590332       8963.041992
8        o1   o1_t1_cs_d1  AlexNet_conv5     20.672085         24.075974
9        o1   o1_t1_cs_d1  AlexNet_norm2    601.808838        802.283081
10       o1   o1_t1_cs_d1  AlexNet_pool2   1207.589355       1582.039185
11       o1   o1_t1_cs_d1  AlexNet_pool1  18836.656250      28052.810547
12       o1   o1_t1_cs_d1  AlexNet_norm1    616.979614        879.770264
13       o1   o1_t1_cs_d1  AlexNet_pool5     65.355263         73.891953
14       o1   o1_t1_cs_d2    AlexNet_fc6      3.694600         10.280590
15       o1   o1_t1_cs_d2    AlexNet_fc7      0.300415          0.687718
16       o1   o1_t1_cs_d2    AlexNet_fc8      0.752377          1.612745
17       o1   o1_t1_cs_d2  AlexNet_conv4     55.037289        145.666962
18       o1   o1_t1_cs_d2   AlexNet_prob      0.000056          0.000199
19       o1   o1_t1_cs_d2  AlexNet_conv3    165.997589        471.449951
20       o1   o1_t1_cs_d2  AlexNet_conv2    268.184235        532.256836
21       o1   o1_t1_cs_d2  AlexNet_conv1   5439.019043       8387.727539
22       o1   o1_t1_cs_d2  AlexNet_conv5      8.977133         24.602903
23       o1   o1_t1_cs_d2  AlexNet_norm2    290.881134        785.297363
24       o1   o1_t1_cs_d2  AlexNet_pool2    561.220398       1518.638062
25       o1   o1_t1_cs_d2  AlexNet_pool1  11142.672852      27556.351562
26       o1   o1_t1_cs_d2  AlexNet_norm1    368.532684        842.417847
27       o1   o1_t1_cs_d2  AlexNet_pool5     25.890465         76.452927
28       o1   o1_t2_ap_d1    AlexNet_fc6      2.569705          8.852013
29       o1   o1_t2_ap_d1    AlexNet_fc7      0.155168          0.522155
30       o1   o1_t2_ap_d1    AlexNet_fc8      0.271916          1.010944
31       o1   o1_t2_ap_d1  AlexNet_conv4     36.402893        144.778214
32       o1   o1_t2_ap_d1   AlexNet_prob      0.000046          0.000299
33       o1   o1_t2_ap_d1  AlexNet_conv3    103.792648        456.580292
34       o1   o1_t2_ap_d1  AlexNet_conv2    133.431915        551.693542
35       o1   o1_t2_ap_d1  AlexNet_conv1   2083.263184       8395.960938
36       o1   o1_t2_ap_d1  AlexNet_conv5      7.380523         25.703236
37       o1   o1_t2_ap_d1  AlexNet_norm2    184.181183        766.947815
38       o1   o1_t2_ap_d1  AlexNet_pool2    369.781586       1516.196777
39       o1   o1_t2_ap_d1  AlexNet_pool1   5014.535645      27246.560547
40       o1   o1_t2_ap_d1  AlexNet_norm1    216.013123        838.383118
41       o1   o1_t2_ap_d1  AlexNet_pool5     22.042643         80.115440
42       o1   o1_t2_ap_d2    AlexNet_fc6      4.073242          7.758206
43       o1   o1_t2_ap_d2    AlexNet_fc7      0.239019          0.428470
44       o1   o1_t2_ap_d2    AlexNet_fc8      0.499541          0.824345
45       o1   o1_t2_ap_d2  AlexNet_conv4    106.259369        148.087051
46       o1   o1_t2_ap_d2   AlexNet_prob      0.000034          0.000072
47       o1   o1_t2_ap_d2  AlexNet_conv3    354.485077        503.607574
48       o1   o1_t2_ap_d2  AlexNet_conv2    462.826599        575.273376
49       o1   o1_t2_ap_d2  AlexNet_conv1   7399.203125       8840.951172
50       o1   o1_t2_ap_d2  AlexNet_conv5     18.916845         24.157337
51       o1   o1_t2_ap_d2  AlexNet_norm2    589.136353        868.487610
52       o1   o1_t2_ap_d2  AlexNet_pool2   1185.187988       1694.123535
53       o1   o1_t2_ap_d2  AlexNet_pool1  20777.921875      28071.080078
