    Target   Comparison1   Comparison2  AlexNet_conv1  AlexNet_conv2  AlexNet_conv3  AlexNet_conv4  AlexNet_conv5  AlexNet_fc6  AlexNet_fc7  AlexNet_fc8  AlexNet_norm1  AlexNet_norm2  AlexNet_pool1  AlexNet_pool2  AlexNet_pool5  AlexNet_prob
0       o1   o1_t1_cs_d1   o1_t1_cs_d2              0              0              0              0              0            0            0            1              0              0              0              0              0             0
1       o1   o1_t1_cs_d1   o1_t2_ap_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
2       o1   o1_t1_cs_d1   o1_t2_ap_d2              1              1              0              0              0            0            0            0              1              0              1              0              0             0
3       o1   o1_t1_cs_d1   o1_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
4       o1   o1_t1_cs_d1   o1_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
5       o1   o1_t1_cs_d1   o1_t2_rp_d1              0              0              0              0              0            0            1            1              0              0              0              0              0             0
6       o1   o1_t1_cs_d1   o1_t2_rp_d2              0              0              1              1              1            0            0            0              1              1              1              0              1             0
7       o1   o1_t1_cs_d2   o1_t2_ap_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
8       o1   o1_t1_cs_d2   o1_t2_ap_d2              1              1              1              1              1            1            0            0              1              1              1              1              1             0
9       o1   o1_t1_cs_d2   o1_t2_mf_d1              0              1              1              1              1            1            1            0              1              1              0              1              1             1
10      o1   o1_t1_cs_d2   o1_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
11      o1   o1_t1_cs_d2   o1_t2_rp_d1              0              1              1              1              1            1            1            1              1              1              1              1              1             1
12      o1   o1_t1_cs_d2   o1_t2_rp_d2              1              1              1              1              1            1            1            0              1              1              1              1              1             0
13      o1   o1_t2_ap_d1   o1_t2_ap_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
14      o1   o1_t2_ap_d1   o1_t2_mf_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
15      o1   o1_t2_ap_d1   o1_t2_mf_d2              1              1              1              0              0            0            0            1              1              1              1              0              0             0
16      o1   o1_t2_ap_d1   o1_t2_rp_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
17      o1   o1_t2_ap_d1   o1_t2_rp_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
18      o1   o1_t2_ap_d2   o1_t2_mf_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
19      o1   o1_t2_ap_d2   o1_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
20      o1   o1_t2_ap_d2   o1_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
21      o1   o1_t2_ap_d2   o1_t2_rp_d2              0              0              1              1              1            1            1            0              0              1              0              1              1             1
22      o1   o1_t2_mf_d1   o1_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
23      o1   o1_t2_mf_d1   o1_t2_rp_d1              1              1              1              0              0            1            1            1              0              1              1              1              0             1
24      o1   o1_t2_mf_d1   o1_t2_rp_d2              1              1              1              1              1            1            0            0              1              1              1              1              1             0
25      o1   o1_t2_mf_d2   o1_t2_rp_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
26      o1   o1_t2_mf_d2   o1_t2_rp_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
27      o1   o1_t2_rp_d1   o1_t2_rp_d2              1              1              1              1              1            1            0            0              1              1              1              1              1             0
28     o10  o10_t1_cs_d1  o10_t1_cs_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
29     o10  o10_t1_cs_d1  o10_t2_ap_d1              0              0              0              0              0            1            0            0              0              0              0              0              0             1
30     o10  o10_t1_cs_d1  o10_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
31     o10  o10_t1_cs_d1  o10_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
32     o10  o10_t1_cs_d1  o10_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
33     o10  o10_t1_cs_d1  o10_t2_rp_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             1
34     o10  o10_t1_cs_d1  o10_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
35     o10  o10_t1_cs_d2  o10_t2_ap_d1              0              0              0              0              1            1            1            1              0              0              0              0              0             1
36     o10  o10_t1_cs_d2  o10_t2_ap_d2              1              0              0              0              1            0            1            1              0              0              1              0              0             1
37     o10  o10_t1_cs_d2  o10_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
38     o10  o10_t1_cs_d2  o10_t2_mf_d2              1              0              0              0              1            1            1            1              0              0              1              0              0             0
39     o10  o10_t1_cs_d2  o10_t2_rp_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
40     o10  o10_t1_cs_d2  o10_t2_rp_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             1
41     o10  o10_t2_ap_d1  o10_t2_ap_d2              1              1              1              1              0            0            0            0              1              1              1              1              0             1
42     o10  o10_t2_ap_d1  o10_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
43     o10  o10_t2_ap_d1  o10_t2_mf_d2              1              1              1              1              0            0            0            0              1              1              1              1              1             0
44     o10  o10_t2_ap_d1  o10_t2_rp_d1              1              1              1              1              1            0            0            0              1              1              1              1              1             1
45     o10  o10_t2_ap_d1  o10_t2_rp_d2              0              1              1              1              0            0            0            0              1              1              1              1              0             0
46     o10  o10_t2_ap_d2  o10_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
47     o10  o10_t2_ap_d2  o10_t2_mf_d2              0              0              1              1              1            1            1            0              0              1              0              1              1             0
48     o10  o10_t2_ap_d2  o10_t2_rp_d1              0              1              1              1              1            1            1            0              1              1              0              1              1             0
49     o10  o10_t2_ap_d2  o10_t2_rp_d2              0              0              0              0              0            1            1            0              0              0              0              0              1             0
50     o10  o10_t2_mf_d1  o10_t2_mf_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
51     o10  o10_t2_mf_d1  o10_t2_rp_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
52     o10  o10_t2_mf_d1  o10_t2_rp_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
53     o10  o10_t2_mf_d2  o10_t2_rp_d1              0              1              1              1              1            1            0            1              1              1              0              1              1             1
54     o10  o10_t2_mf_d2  o10_t2_rp_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             1
55     o10  o10_t2_rp_d1  o10_t2_rp_d2              0              0              0              0              0            0            1            1              0              0              0              0              0             0
56      o2   o2_t1_cs_d1   o2_t1_cs_d2              0              0              0              1              0            0            0            0              0              0              1              0              0             0
57      o2   o2_t1_cs_d1   o2_t2_ap_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
58      o2   o2_t1_cs_d1   o2_t2_ap_d2              1              1              1              1              1            0            0            0              1              1              1              1              1             0
59      o2   o2_t1_cs_d1   o2_t2_mf_d1              0              0              0              1              1            0            0            0              0              0              0              0              0             0
60      o2   o2_t1_cs_d1   o2_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
61      o2   o2_t1_cs_d1   o2_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
62      o2   o2_t1_cs_d1   o2_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
63      o2   o2_t1_cs_d2   o2_t2_ap_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             1
64      o2   o2_t1_cs_d2   o2_t2_ap_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
65      o2   o2_t1_cs_d2   o2_t2_mf_d1              0              1              1              1              1            0            1            1              1              1              0              1              0             1
66      o2   o2_t1_cs_d2   o2_t2_mf_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             0
67      o2   o2_t1_cs_d2   o2_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
68      o2   o2_t1_cs_d2   o2_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
69      o2   o2_t2_ap_d1   o2_t2_ap_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
70      o2   o2_t2_ap_d1   o2_t2_mf_d1              0              1              1              1              1            1            1            1              1              1              1              1              1             1
71      o2   o2_t2_ap_d1   o2_t2_mf_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
72      o2   o2_t2_ap_d1   o2_t2_rp_d1              0              0              1              1              1            1            1            1              1              1              0              1              1             1
73      o2   o2_t2_ap_d1   o2_t2_rp_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             1
74      o2   o2_t2_ap_d2   o2_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
75      o2   o2_t2_ap_d2   o2_t2_mf_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             0
76      o2   o2_t2_ap_d2   o2_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
77      o2   o2_t2_ap_d2   o2_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
78      o2   o2_t2_mf_d1   o2_t2_mf_d2              1              0              0              0              0            1            1            1              0              0              0              0              0             0
79      o2   o2_t2_mf_d1   o2_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
80      o2   o2_t2_mf_d1   o2_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
