      Target    Comparison                          Layer     Distance
0         o1   o1_t1_cs_d1  GoogLeNet_inception_5b/output     2.418927
1         o1   o1_t1_cs_d1          GoogLeNet_conv2/norm2   288.308563
2         o1   o1_t1_cs_d1  GoogLeNet_inception_3a/output  1476.516724
3         o1   o1_t1_cs_d1         GoogLeNet_pool4/3x3_s2    27.335331
4         o1   o1_t1_cs_d1  GoogLeNet_inception_5a/output    13.872299
5         o1   o1_t1_cs_d1     GoogLeNet_loss3/classifier     0.930799
6         o1   o1_t1_cs_d1         GoogLeNet_pool3/3x3_s2   708.062683
7         o1   o1_t1_cs_d1  GoogLeNet_inception_4c/output   117.874794
8         o1   o1_t1_cs_d1  GoogLeNet_inception_3b/output   208.486771
9         o1   o1_t1_cs_d1         GoogLeNet_pool5/7x7_s1     0.473936
10        o1   o1_t1_cs_d1  GoogLeNet_inception_4a/output   203.100403
11        o1   o1_t1_cs_d1  GoogLeNet_inception_4b/output   151.074814
12        o1   o1_t1_cs_d1          GoogLeNet_pool1/norm1   583.343140
13        o1   o1_t1_cs_d1  GoogLeNet_inception_4d/output    41.584538
14        o1   o1_t1_cs_d1  GoogLeNet_inception_4e/output    11.912129
15        o1   o1_t1_cs_d1                 GoogLeNet_prob     0.000065
16        o1   o2_t1_cs_d1  GoogLeNet_inception_5b/output     1.703936
17        o1   o2_t1_cs_d1          GoogLeNet_conv2/norm2   284.140564
18        o1   o2_t1_cs_d1  GoogLeNet_inception_3a/output  1493.157104
19        o1   o2_t1_cs_d1         GoogLeNet_pool4/3x3_s2    22.788258
20        o1   o2_t1_cs_d1  GoogLeNet_inception_5a/output    10.086901
21        o1   o2_t1_cs_d1     GoogLeNet_loss3/classifier     0.587257
22        o1   o2_t1_cs_d1         GoogLeNet_pool3/3x3_s2   662.052795
23        o1   o2_t1_cs_d1  GoogLeNet_inception_4c/output   109.499046
24        o1   o2_t1_cs_d1  GoogLeNet_inception_3b/output   198.246048
25        o1   o2_t1_cs_d1         GoogLeNet_pool5/7x7_s1     0.306225
26        o1   o2_t1_cs_d1  GoogLeNet_inception_4a/output   193.492691
27        o1   o2_t1_cs_d1  GoogLeNet_inception_4b/output   142.128281
28        o1   o2_t1_cs_d1          GoogLeNet_pool1/norm1   641.356079
29        o1   o2_t1_cs_d1  GoogLeNet_inception_4d/output    39.597404
30        o1   o2_t1_cs_d1  GoogLeNet_inception_4e/output    10.415000
31        o1   o2_t1_cs_d1                 GoogLeNet_prob     0.000107
32        o1   o3_t1_cs_d1  GoogLeNet_inception_5b/output     2.130349
33        o1   o3_t1_cs_d1          GoogLeNet_conv2/norm2   239.551132
34        o1   o3_t1_cs_d1  GoogLeNet_inception_3a/output  1287.486572
35        o1   o3_t1_cs_d1         GoogLeNet_pool4/3x3_s2    24.885246
36        o1   o3_t1_cs_d1  GoogLeNet_inception_5a/output    11.474220
37        o1   o3_t1_cs_d1     GoogLeNet_loss3/classifier     0.986909
38        o1   o3_t1_cs_d1         GoogLeNet_pool3/3x3_s2   568.119263
39        o1   o3_t1_cs_d1  GoogLeNet_inception_4c/output   110.610146
40        o1   o3_t1_cs_d1  GoogLeNet_inception_3b/output   171.409561
41        o1   o3_t1_cs_d1         GoogLeNet_pool5/7x7_s1     0.479735
42        o1   o3_t1_cs_d1  GoogLeNet_inception_4a/output   176.197723
43        o1   o3_t1_cs_d1  GoogLeNet_inception_4b/output   133.045853
44        o1   o3_t1_cs_d1          GoogLeNet_pool1/norm1   579.768005
45        o1   o3_t1_cs_d1  GoogLeNet_inception_4d/output    43.923088
46        o1   o3_t1_cs_d1  GoogLeNet_inception_4e/output    11.161559
47        o1   o3_t1_cs_d1                 GoogLeNet_prob     0.000029
48        o1   o4_t1_cs_d1  GoogLeNet_inception_5b/output     2.434286
49        o1   o4_t1_cs_d1          GoogLeNet_conv2/norm2   288.419586
50        o1   o4_t1_cs_d1  GoogLeNet_inception_3a/output  1574.279663
51        o1   o4_t1_cs_d1         GoogLeNet_pool4/3x3_s2    29.872259
52        o1   o4_t1_cs_d1  GoogLeNet_inception_5a/output    13.883029
53        o1   o4_t1_cs_d1     GoogLeNet_loss3/classifier     0.961793
54        o1   o4_t1_cs_d1         GoogLeNet_pool3/3x3_s2   697.762268
55        o1   o4_t1_cs_d1  GoogLeNet_inception_4c/output   140.657684
56        o1   o4_t1_cs_d1  GoogLeNet_inception_3b/output   204.386932
57        o1   o4_t1_cs_d1         GoogLeNet_pool5/7x7_s1     0.411788
58        o1   o4_t1_cs_d1  GoogLeNet_inception_4a/output   222.500320
59        o1   o4_t1_cs_d1  GoogLeNet_inception_4b/output   176.866165
60        o1   o4_t1_cs_d1          GoogLeNet_pool1/norm1   731.508606
61        o1   o4_t1_cs_d1  GoogLeNet_inception_4d/output    53.813919
62        o1   o4_t1_cs_d1  GoogLeNet_inception_4e/output    13.715371
63        o1   o4_t1_cs_d1                 GoogLeNet_prob     0.000357
64        o1   o5_t1_cs_d1  GoogLeNet_inception_5b/output     2.424232
65        o1   o5_t1_cs_d1          GoogLeNet_conv2/norm2   309.544830
66        o1   o5_t1_cs_d1  GoogLeNet_inception_3a/output  1581.900024
67        o1   o5_t1_cs_d1         GoogLeNet_pool4/3x3_s2    34.448975
68        o1   o5_t1_cs_d1  GoogLeNet_inception_5a/output    17.150484
69        o1   o5_t1_cs_d1     GoogLeNet_loss3/classifier     0.904759
70        o1   o5_t1_cs_d1         GoogLeNet_pool3/3x3_s2   700.271240
71        o1   o5_t1_cs_d1  GoogLeNet_inception_4c/output   154.362381
72        o1   o5_t1_cs_d1  GoogLeNet_inception_3b/output   208.016113
73        o1   o5_t1_cs_d1         GoogLeNet_pool5/7x7_s1     0.432391
74        o1   o5_t1_cs_d1  GoogLeNet_inception_4a/output   243.572937
75        o1   o5_t1_cs_d1  GoogLeNet_inception_4b/output   190.515778
76        o1   o5_t1_cs_d1          GoogLeNet_pool1/norm1   648.691589
77        o1   o5_t1_cs_d1  GoogLeNet_inception_4d/output    57.613201
78        o1   o5_t1_cs_d1  GoogLeNet_inception_4e/output    15.553029
79        o1   o5_t1_cs_d1                 GoogLeNet_prob     0.000052
80        o1   o6_t1_cs_d1  GoogLeNet_inception_5b/output     2.609307
81        o1   o6_t1_cs_d1          GoogLeNet_conv2/norm2   286.738800
82        o1   o6_t1_cs_d1  GoogLeNet_inception_3a/output  1587.939941
83        o1   o6_t1_cs_d1         GoogLeNet_pool4/3x3_s2    33.226307
84        o1   o6_t1_cs_d1  GoogLeNet_inception_5a/output    16.182161
85        o1   o6_t1_cs_d1     GoogLeNet_loss3/classifier     1.001429
86        o1   o6_t1_cs_d1         GoogLeNet_pool3/3x3_s2   703.068848
87        o1   o6_t1_cs_d1  GoogLeNet_inception_4c/output   140.703751
88        o1   o6_t1_cs_d1  GoogLeNet_inception_3b/output   199.361557
89        o1   o6_t1_cs_d1         GoogLeNet_pool5/7x7_s1     0.527779
90        o1   o6_t1_cs_d1  GoogLeNet_inception_4a/output   206.078705
91        o1   o6_t1_cs_d1  GoogLeNet_inception_4b/output   166.889755
92        o1   o6_t1_cs_d1          GoogLeNet_pool1/norm1   720.954163
93        o1   o6_t1_cs_d1  GoogLeNet_inception_4d/output    54.150570
94        o1   o6_t1_cs_d1  GoogLeNet_inception_4e/output    14.772136
95        o1   o6_t1_cs_d1                 GoogLeNet_prob     0.000210
96        o1   o7_t1_cs_d1  GoogLeNet_inception_5b/output     2.387405
97        o1   o7_t1_cs_d1          GoogLeNet_conv2/norm2   324.535645
98        o1   o7_t1_cs_d1  GoogLeNet_inception_3a/output  1848.017578
99        o1   o7_t1_cs_d1         GoogLeNet_pool4/3x3_s2    34.467106
100       o1   o7_t1_cs_d1  GoogLeNet_inception_5a/output    14.754366
101       o1   o7_t1_cs_d1     GoogLeNet_loss3/classifier     0.557959
102       o1   o7_t1_cs_d1         GoogLeNet_pool3/3x3_s2   819.196350
103       o1   o7_t1_cs_d1  GoogLeNet_inception_4c/output   161.895447
104       o1   o7_t1_cs_d1  GoogLeNet_inception_3b/output   234.461624
105       o1   o7_t1_cs_d1         GoogLeNet_pool5/7x7_s1     0.286832
106       o1   o7_t1_cs_d1  GoogLeNet_inception_4a/output   247.757217
107       o1   o7_t1_cs_d1  GoogLeNet_inception_4b/output   193.900665
108       o1   o7_t1_cs_d1          GoogLeNet_pool1/norm1   842.722839
109       o1   o7_t1_cs_d1  GoogLeNet_inception_4d/output    64.532532
110       o1   o7_t1_cs_d1  GoogLeNet_inception_4e/output    15.707261
111       o1   o7_t1_cs_d1                 GoogLeNet_prob     0.000174
112       o1   o8_t1_cs_d1  GoogLeNet_inception_5b/output     2.318309
113       o1   o8_t1_cs_d1          GoogLeNet_conv2/norm2   308.890106
114       o1   o8_t1_cs_d1  GoogLeNet_inception_3a/output  1683.207764
115       o1   o8_t1_cs_d1         GoogLeNet_pool4/3x3_s2    31.612005
116       o1   o8_t1_cs_d1  GoogLeNet_inception_5a/output    13.541452
117       o1   o8_t1_cs_d1     GoogLeNet_loss3/classifier     0.663800
