     Target    Comparison                          Layer     Distance
0        o1   o1_t1_cs_d1  GoogLeNet_inception_5b/output     2.418927
1        o1   o1_t1_cs_d1          GoogLeNet_conv2/norm2   288.308563
2        o1   o1_t1_cs_d1  GoogLeNet_inception_3a/output  1476.516724
3        o1   o1_t1_cs_d1         GoogLeNet_pool4/3x3_s2    27.335331
4        o1   o1_t1_cs_d1  GoogLeNet_inception_5a/output    13.872299
5        o1   o1_t1_cs_d1     GoogLeNet_loss3/classifier     0.930799
6        o1   o1_t1_cs_d1         GoogLeNet_pool3/3x3_s2   708.062683
7        o1   o1_t1_cs_d1  GoogLeNet_inception_4c/output   117.874794
8        o1   o1_t1_cs_d1  GoogLeNet_inception_3b/output   208.486771
9        o1   o1_t1_cs_d1         GoogLeNet_pool5/7x7_s1     0.473936
10       o1   o1_t1_cs_d1  GoogLeNet_inception_4a/output   203.100403
11       o1   o1_t1_cs_d1  GoogLeNet_inception_4b/output   151.074814
12       o1   o1_t1_cs_d1          GoogLeNet_pool1/norm1   583.343140
13       o1   o1_t1_cs_d1  GoogLeNet_inception_4d/output    41.584538
14       o1   o1_t1_cs_d1  GoogLeNet_inception_4e/output    11.912129
15       o1   o1_t1_cs_d1                 GoogLeNet_prob     0.000065
16       o1   o1_t1_cs_d2  GoogLeNet_inception_5b/output     0.744455
17       o1   o1_t1_cs_d2          GoogLeNet_conv2/norm2   235.842209
18       o1   o1_t1_cs_d2  GoogLeNet_inception_3a/output   963.759827
19       o1   o1_t1_cs_d2         GoogLeNet_pool4/3x3_s2     9.820988
20       o1   o1_t1_cs_d2  GoogLeNet_inception_5a/output     4.556251
21       o1   o1_t1_cs_d2     GoogLeNet_loss3/classifier     0.253230
22       o1   o1_t1_cs_d2         GoogLeNet_pool3/3x3_s2   385.341187
23       o1   o1_t1_cs_d2  GoogLeNet_inception_4c/output    58.058613
24       o1   o1_t1_cs_d2  GoogLeNet_inception_3b/output   143.486984
25       o1   o1_t1_cs_d2         GoogLeNet_pool5/7x7_s1     0.155563
26       o1   o1_t1_cs_d2  GoogLeNet_inception_4a/output   122.357590
27       o1   o1_t1_cs_d2  GoogLeNet_inception_4b/output    76.173592
28       o1   o1_t1_cs_d2          GoogLeNet_pool1/norm1   360.260315
29       o1   o1_t1_cs_d2  GoogLeNet_inception_4d/output    19.507051
30       o1   o1_t1_cs_d2  GoogLeNet_inception_4e/output     4.517663
31       o1   o1_t1_cs_d2                 GoogLeNet_prob     0.000011
32       o1   o1_t2_ap_d1  GoogLeNet_inception_5b/output     0.485388
33       o1   o1_t2_ap_d1          GoogLeNet_conv2/norm2   121.536575
34       o1   o1_t2_ap_d1  GoogLeNet_inception_3a/output   436.625549
35       o1   o1_t2_ap_d1         GoogLeNet_pool4/3x3_s2     8.297410
36       o1   o1_t2_ap_d1  GoogLeNet_inception_5a/output     3.860161
37       o1   o1_t2_ap_d1     GoogLeNet_loss3/classifier     0.165086
38       o1   o1_t2_ap_d1         GoogLeNet_pool3/3x3_s2   216.819275
39       o1   o1_t2_ap_d1  GoogLeNet_inception_4c/output    38.587688
40       o1   o1_t2_ap_d1  GoogLeNet_inception_3b/output    68.455162
41       o1   o1_t2_ap_d1         GoogLeNet_pool5/7x7_s1     0.095349
42       o1   o1_t2_ap_d1  GoogLeNet_inception_4a/output    69.687172
43       o1   o1_t2_ap_d1  GoogLeNet_inception_4b/output    47.790989
44       o1   o1_t2_ap_d1          GoogLeNet_pool1/norm1   207.649521
45       o1   o1_t2_ap_d1  GoogLeNet_inception_4d/output    14.262288
46       o1   o1_t2_ap_d1  GoogLeNet_inception_4e/output     3.403635
47       o1   o1_t2_ap_d1                 GoogLeNet_prob     0.000009
48       o1   o1_t2_ap_d2  GoogLeNet_inception_5b/output     1.607629
49       o1   o1_t2_ap_d2          GoogLeNet_conv2/norm2   306.968872
50       o1   o1_t2_ap_d2  GoogLeNet_inception_3a/output  1611.516479
51       o1   o1_t2_ap_d2         GoogLeNet_pool4/3x3_s2    18.611780
52       o1   o1_t2_ap_d2  GoogLeNet_inception_5a/output    10.643756
53       o1   o1_t2_ap_d2     GoogLeNet_loss3/classifier     0.659989
54       o1   o1_t2_ap_d2         GoogLeNet_pool3/3x3_s2   718.953247
55       o1   o1_t2_ap_d2  GoogLeNet_inception_4c/output   100.065559
56       o1   o1_t2_ap_d2  GoogLeNet_inception_3b/output   222.550873
57       o1   o1_t2_ap_d2         GoogLeNet_pool5/7x7_s1     0.333247
58       o1   o1_t2_ap_d2  GoogLeNet_inception_4a/output   198.740646
59       o1   o1_t2_ap_d2  GoogLeNet_inception_4b/output   130.666809
60       o1   o1_t2_ap_d2          GoogLeNet_pool1/norm1   545.361023
61       o1   o1_t2_ap_d2  GoogLeNet_inception_4d/output    35.425678
62       o1   o1_t2_ap_d2  GoogLeNet_inception_4e/output     8.408291
63       o1   o1_t2_ap_d2                 GoogLeNet_prob     0.000050
64       o1   o1_t2_mf_d1  GoogLeNet_inception_5b/output     1.809714
65       o1   o1_t2_mf_d1          GoogLeNet_conv2/norm2   223.424820
66       o1   o1_t2_mf_d1  GoogLeNet_inception_3a/output   871.986755
67       o1   o1_t2_mf_d1         GoogLeNet_pool4/3x3_s2    23.280857
68       o1   o1_t2_mf_d1  GoogLeNet_inception_5a/output    13.801652
69       o1   o1_t2_mf_d1     GoogLeNet_loss3/classifier     0.690838
70       o1   o1_t2_mf_d1         GoogLeNet_pool3/3x3_s2   426.828033
71       o1   o1_t2_mf_d1  GoogLeNet_inception_4c/output    86.028931
72       o1   o1_t2_mf_d1  GoogLeNet_inception_3b/output   132.396225
73       o1   o1_t2_mf_d1         GoogLeNet_pool5/7x7_s1     0.406216
74       o1   o1_t2_mf_d1  GoogLeNet_inception_4a/output   134.508148
75       o1   o1_t2_mf_d1  GoogLeNet_inception_4b/output   106.696297
76       o1   o1_t2_mf_d1          GoogLeNet_pool1/norm1   434.354309
77       o1   o1_t2_mf_d1  GoogLeNet_inception_4d/output    33.275272
78       o1   o1_t2_mf_d1  GoogLeNet_inception_4e/output     9.304539
79       o1   o1_t2_mf_d1                 GoogLeNet_prob     0.000024
80       o1   o1_t2_mf_d2  GoogLeNet_inception_5b/output     0.512398
81       o1   o1_t2_mf_d2          GoogLeNet_conv2/norm2   164.324936
82       o1   o1_t2_mf_d2  GoogLeNet_inception_3a/output   584.280029
83       o1   o1_t2_mf_d2         GoogLeNet_pool4/3x3_s2     6.946856
84       o1   o1_t2_mf_d2  GoogLeNet_inception_5a/output     3.120676
85       o1   o1_t2_mf_d2     GoogLeNet_loss3/classifier     0.169080
86       o1   o1_t2_mf_d2         GoogLeNet_pool3/3x3_s2   268.554993
87       o1   o1_t2_mf_d2  GoogLeNet_inception_4c/output    35.953152
88       o1   o1_t2_mf_d2  GoogLeNet_inception_3b/output    92.253082
89       o1   o1_t2_mf_d2         GoogLeNet_pool5/7x7_s1     0.098612
90       o1   o1_t2_mf_d2  GoogLeNet_inception_4a/output    75.766090
91       o1   o1_t2_mf_d2  GoogLeNet_inception_4b/output    50.593739
92       o1   o1_t2_mf_d2          GoogLeNet_pool1/norm1   258.524384
93       o1   o1_t2_mf_d2  GoogLeNet_inception_4d/output    12.788370
94       o1   o1_t2_mf_d2  GoogLeNet_inception_4e/output     3.149433
95       o1   o1_t2_mf_d2                 GoogLeNet_prob     0.000033
96       o1   o1_t2_rp_d1  GoogLeNet_inception_5b/output     1.904635
97       o1   o1_t2_rp_d1          GoogLeNet_conv2/norm2   225.397614
98       o1   o1_t2_rp_d1  GoogLeNet_inception_3a/output   985.592712
99       o1   o1_t2_rp_d1         GoogLeNet_pool4/3x3_s2    18.740088
100      o1   o1_t2_rp_d1  GoogLeNet_inception_5a/output    10.264722
101      o1   o1_t2_rp_d1     GoogLeNet_loss3/classifier     0.844192
102      o1   o1_t2_rp_d1         GoogLeNet_pool3/3x3_s2   451.943848
103      o1   o1_t2_rp_d1  GoogLeNet_inception_4c/output    72.646049
104      o1   o1_t2_rp_d1  GoogLeNet_inception_3b/output   150.619751
105      o1   o1_t2_rp_d1         GoogLeNet_pool5/7x7_s1     0.499376
106      o1   o1_t2_rp_d1  GoogLeNet_inception_4a/output   128.863922
107      o1   o1_t2_rp_d1  GoogLeNet_inception_4b/output    92.690201
108      o1   o1_t2_rp_d1          GoogLeNet_pool1/norm1   387.534943
109      o1   o1_t2_rp_d1  GoogLeNet_inception_4d/output    26.921007
110      o1   o1_t2_rp_d1  GoogLeNet_inception_4e/output     7.986378
111      o1   o1_t2_rp_d1                 GoogLeNet_prob     0.000062
112      o1   o1_t2_rp_d2  GoogLeNet_inception_5b/output     1.651332
113      o1   o1_t2_rp_d2          GoogLeNet_conv2/norm2   273.899536
114      o1   o1_t2_rp_d2  GoogLeNet_inception_3a/output  1359.185303
115      o1   o1_t2_rp_d2         GoogLeNet_pool4/3x3_s2    27.848410
116      o1   o1_t2_rp_d2  GoogLeNet_inception_5a/output    13.527190
117      o1   o1_t2_rp_d2     GoogLeNet_loss3/classifier     0.476706
