     Target    Comparison                         Layer      Distance
0        o1   o1_t1_cs_d1  AlexNet_finetuned_fc8_blocks  1.269712e+01
1        o1   o1_t1_cs_d1         AlexNet_finetuned_fc6  5.702163e+01
2        o1   o1_t1_cs_d1         AlexNet_finetuned_fc7  4.610194e+00
3        o1   o1_t1_cs_d1       AlexNet_finetuned_conv4  4.816053e+02
4        o1   o1_t1_cs_d1        AlexNet_finetuned_prob  7.511669e-03
5        o1   o1_t1_cs_d1       AlexNet_finetuned_conv3  6.756045e+02
6        o1   o1_t1_cs_d1       AlexNet_finetuned_conv2  4.838854e+02
7        o1   o1_t1_cs_d1       AlexNet_finetuned_conv1  6.886094e+03
8        o1   o1_t1_cs_d1       AlexNet_finetuned_conv5  2.056878e+02
9        o1   o1_t1_cs_d1       AlexNet_finetuned_norm2  6.676434e+02
10       o1   o1_t1_cs_d1       AlexNet_finetuned_pool2  1.314824e+03
11       o1   o1_t1_cs_d1       AlexNet_finetuned_pool1  1.838708e+04
12       o1   o1_t1_cs_d1       AlexNet_finetuned_norm1  7.173457e+02
13       o1   o1_t1_cs_d1       AlexNet_finetuned_pool5  6.221719e+02
14       o1   o1_t1_cs_d2  AlexNet_finetuned_fc8_blocks  4.016048e+00
15       o1   o1_t1_cs_d2         AlexNet_finetuned_fc6  2.325799e+01
16       o1   o1_t1_cs_d2         AlexNet_finetuned_fc7  1.890191e+00
17       o1   o1_t1_cs_d2       AlexNet_finetuned_conv4  1.846858e+02
18       o1   o1_t1_cs_d2        AlexNet_finetuned_prob  6.267361e-03
19       o1   o1_t1_cs_d2       AlexNet_finetuned_conv3  2.966484e+02
20       o1   o1_t1_cs_d2       AlexNet_finetuned_conv2  3.109766e+02
21       o1   o1_t1_cs_d2       AlexNet_finetuned_conv1  5.503654e+03
22       o1   o1_t1_cs_d2       AlexNet_finetuned_conv5  6.686449e+01
23       o1   o1_t1_cs_d2       AlexNet_finetuned_norm2  3.106372e+02
24       o1   o1_t1_cs_d2       AlexNet_finetuned_pool2  6.205818e+02
25       o1   o1_t1_cs_d2       AlexNet_finetuned_pool1  1.176448e+04
26       o1   o1_t1_cs_d2       AlexNet_finetuned_norm1  4.432715e+02
27       o1   o1_t1_cs_d2       AlexNet_finetuned_pool5  1.812347e+02
28       o1   o1_t2_ap_d1  AlexNet_finetuned_fc8_blocks  3.222110e+00
29       o1   o1_t2_ap_d1         AlexNet_finetuned_fc6  2.264378e+01
30       o1   o1_t2_ap_d1         AlexNet_finetuned_fc7  1.802775e+00
31       o1   o1_t2_ap_d1       AlexNet_finetuned_conv4  1.343992e+02
32       o1   o1_t2_ap_d1        AlexNet_finetuned_prob  1.162322e-03
33       o1   o1_t2_ap_d1       AlexNet_finetuned_conv3  1.906352e+02
34       o1   o1_t2_ap_d1       AlexNet_finetuned_conv2  1.563833e+02
35       o1   o1_t2_ap_d1       AlexNet_finetuned_conv1  2.247362e+03
36       o1   o1_t2_ap_d1       AlexNet_finetuned_conv5  6.081339e+01
37       o1   o1_t2_ap_d1       AlexNet_finetuned_norm2  2.032249e+02
38       o1   o1_t2_ap_d1       AlexNet_finetuned_pool2  4.028525e+02
39       o1   o1_t2_ap_d1       AlexNet_finetuned_pool1  4.568791e+03
40       o1   o1_t2_ap_d1       AlexNet_finetuned_norm1  2.560793e+02
41       o1   o1_t2_ap_d1       AlexNet_finetuned_pool5  1.750098e+02
42       o1   o1_t2_ap_d2  AlexNet_finetuned_fc8_blocks  4.476707e+00
43       o1   o1_t2_ap_d2         AlexNet_finetuned_fc6  3.110053e+01
44       o1   o1_t2_ap_d2         AlexNet_finetuned_fc7  2.182188e+00
45       o1   o1_t2_ap_d2       AlexNet_finetuned_conv4  4.398145e+02
46       o1   o1_t2_ap_d2        AlexNet_finetuned_prob  7.962389e-03
47       o1   o1_t2_ap_d2       AlexNet_finetuned_conv3  6.515276e+02
48       o1   o1_t2_ap_d2       AlexNet_finetuned_conv2  5.444654e+02
49       o1   o1_t2_ap_d2       AlexNet_finetuned_conv1  7.567758e+03
