    Target   Comparison1   Comparison2  AlexNet_finetuned_conv1  AlexNet_finetuned_conv2  AlexNet_finetuned_conv3  AlexNet_finetuned_conv4  AlexNet_finetuned_conv5  AlexNet_finetuned_fc6  AlexNet_finetuned_fc7  AlexNet_finetuned_fc8_blocks  AlexNet_finetuned_norm1  AlexNet_finetuned_norm2  AlexNet_finetuned_pool1  AlexNet_finetuned_pool2  AlexNet_finetuned_pool5  AlexNet_finetuned_prob
0       o1   o1_t1_cs_d1   o1_t1_cs_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
1       o1   o1_t1_cs_d1   o1_t2_ap_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
2       o1   o1_t1_cs_d1   o1_t2_ap_d2                        1                        1                        0                        0                        0                      0                      0                             0                        1                        0                        1                        1                        0                       1
3       o1   o1_t1_cs_d1   o1_t2_mf_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
4       o1   o1_t1_cs_d1   o1_t2_mf_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
5       o1   o1_t1_cs_d1   o1_t2_rp_d1                        0                        0                        0                        0                        0                      0                      0                             1                        0                        0                        0                        0                        0                       0
6       o1   o1_t1_cs_d1   o1_t2_rp_d2                        0                        0                        1                        1                        1                      1                      1                             0                        1                        1                        1                        0                        1                       1
7       o1   o1_t1_cs_d2   o1_t2_ap_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
8       o1   o1_t1_cs_d2   o1_t2_ap_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
9       o1   o1_t1_cs_d2   o1_t2_mf_d1                        0                        0                        1                        1                        1                      1                      1                             1                        1                        1                        0                        1                        1                       0
10      o1   o1_t1_cs_d2   o1_t2_mf_d2                        0                        0                        0                        0                        0                      0                      0                             1                        0                        0                        0                        0                        0                       0
11      o1   o1_t1_cs_d2   o1_t2_rp_d1                        0                        0                        1                        1                        1                      1                      1                             1                        1                        1                        0                        1                        1                       0
12      o1   o1_t1_cs_d2   o1_t2_rp_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
13      o1   o1_t2_ap_d1   o1_t2_ap_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
14      o1   o1_t2_ap_d1   o1_t2_mf_d1                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
15      o1   o1_t2_ap_d1   o1_t2_mf_d2                        1                        1                        1                        1                        1                      0                      0                             1                        1                        1                        1                        1                        1                       1
16      o1   o1_t2_ap_d1   o1_t2_rp_d1                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
17      o1   o1_t2_ap_d1   o1_t2_rp_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
18      o1   o1_t2_ap_d2   o1_t2_mf_d1                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        1                       0
19      o1   o1_t2_ap_d2   o1_t2_mf_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
20      o1   o1_t2_ap_d2   o1_t2_rp_d1                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        0                       0
21      o1   o1_t2_ap_d2   o1_t2_rp_d2                        0                        0                        1                        1                        1                      1                      1                             1                        0                        1                        0                        0                        1                       1
22      o1   o1_t2_mf_d1   o1_t2_mf_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
23      o1   o1_t2_mf_d1   o1_t2_rp_d1                        1                        0                        0                        0                        0                      0                      0                             1                        0                        0                        0                        0                        0                       0
24      o1   o1_t2_mf_d1   o1_t2_rp_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
