      Comparison1   Comparison2  HMAX_C1_1_Prediction  HMAX_C1_2_Prediction  HMAX_C1_3_Prediction  HMAX_C1_4_Prediction  HMAX_C1_5_Prediction  HMAX_C1_6_Prediction  HMAX_C1_7_Prediction  HMAX_C1_8_Prediction  HMAX_C1_Prediction  HMAX_C2_1_Prediction  HMAX_C2_2_Prediction  HMAX_C2_3_Prediction  HMAX_C2_4_Prediction  HMAX_C2_5_Prediction  HMAX_C2_6_Prediction  HMAX_C2_7_Prediction  HMAX_C2_8_Prediction  HMAX_C2_Prediction
0     o1_t1_cs_d1   o1_t1_cs_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     1                     1                     1                     1                     1                     1                     1                     1                   1
1     o1_t1_cs_d1   o1_t2_ap_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
2     o1_t1_cs_d1   o1_t2_ap_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
3     o1_t1_cs_d1   o1_t2_mf_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     1                     1                     1                     1                   1
4     o1_t1_cs_d1   o1_t2_mf_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
5     o1_t1_cs_d1   o1_t2_rp_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     1                     0                     1                     1                     1                     1                   1
6     o1_t1_cs_d1   o1_t2_rp_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     1                     1                     1                     1                     1                   1
7     o1_t1_cs_d2   o1_t2_ap_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
8     o1_t1_cs_d2   o1_t2_ap_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     0                     0                     0                     0                     0                   0
9     o1_t1_cs_d2   o1_t2_mf_d1                     0                     0                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     0                     0                     0                     0                     0                   0
10    o1_t1_cs_d2   o1_t2_mf_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
11    o1_t1_cs_d2   o1_t2_rp_d1                     0                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     0                     0                     0                     0                     0                   0
12    o1_t1_cs_d2   o1_t2_rp_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     0                     0                     0                     0                     0                   0
13    o1_t2_ap_d1   o1_t2_ap_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     0                     0                     0                   1
14    o1_t2_ap_d1   o1_t2_mf_d1                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
15    o1_t2_ap_d1   o1_t2_mf_d2                     1                     1                     1                     1                     1                     1                     0                     0                   1                     1                     1                     1                     0                     0                     0                     0                     0                   0
16    o1_t2_ap_d1   o1_t2_rp_d1                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
17    o1_t2_ap_d1   o1_t2_rp_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     1                     1                     1                     1                     1                     1                     1                     1                   1
18    o1_t2_ap_d2   o1_t2_mf_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     1                     1                     1                     1                     1                   1
19    o1_t2_ap_d2   o1_t2_mf_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
20    o1_t2_ap_d2   o1_t2_rp_d1                     0                     0                     0                     0                     0                     0                     0                     0                   0                     1                     1                     1                     1                     1                     1                     1                     1                   1
21    o1_t2_ap_d2   o1_t2_rp_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     1                     1                     1                     1                     1                     1                     1                   1
22    o1_t2_rp_d1   o1_t2_rp_d2                     1                     1                     1                     1                     1                     1                     1                     1                   1                     0                     0                     0                     1                     1                     1                     1                     1                   1
23    o1_t2_mf_d1   o1_t2_mf_d2                     0                     0                     0                     0                     0                     0                     0                     0                   0                     0                     0                     0                     0                     0                     0                     0                     0                   0
