Target,Comparison,c1_1,c1_2,c1_3,c1_4,c1_5,c1_6,c1_7,c1_8,c1,c2_1,c2_2,c2_3,c2_4,c2_5,c2_6,c2_7,c2_8,c2
o1,o1_t1_cs_d1,34.545733,33.566216,31.060903,26.706528,25.218786,23.011161,22.093990,20.098942,216.302257,0.833261,2.625161,4.513293,5.771444,5.791005,7.798067,7.073476,7.308096,41.713804
o1,o1_t1_cs_d2,24.879598,21.630194,17.670383,13.533304,11.915520,9.026043,8.019168,6.314095,112.988305,0.920760,3.378112,5.757258,9.307143,11.036002,15.487663,16.350932,19.090789,81.328659
o1,o1_t2_ap_d1,10.923393,9.611437,9.620494,8.351555,7.405055,6.692226,6.190656,6.018655,64.813469,0.148432,0.506460,1.158022,2.616597,3.324476,4.817777,4.520609,4.968387,22.060759
o1,o1_t2_ap_d2,34.255672,33.448318,29.890965,24.329446,21.571604,18.406560,16.299061,14.401497,192.603125,0.736868,2.110275,3.578899,3.569478,4.176603,4.224853,4.222472,4.521980,27.141428
o1,o1_t2_rp_d1,24.606972,22.647472,19.764568,16.227933,15.022498,13.319626,11.692348,10.363050,133.644466,0.757852,2.454591,4.564866,5.727994,6.849689,8.901751,9.129637,9.100691,47.487071
o1,o1_t2_rp_d2,34.726794,35.996603,36.608090,32.988812,30.716417,29.072251,27.575115,25.852439,253.536523,0.691323,2.442004,4.209672,6.453783,7.723330,10.098573,10.115411,10.192302,51.926397
o1,o1_t2_mf_d1,22.574468,21.050293,18.714908,16.528165,15.028182,14.093109,12.444468,10.849736,131.283329,0.247740,1.072421,3.538833,5.484359,8.467959,10.881235,8.622605,8.320755,46.635905
o1,o1_t2_mf_d2,16.184936,13.967566,11.649294,8.823511,7.897343,7.194120,5.919603,5.101795,76.738167,0.236951,0.902534,1.577706,1.987850,2.696036,3.148909,3.122951,3.234986,16.907924
o2,o2_t1_cs_d1,39.039928,40.826514,39.201281,34.499905,33.353419,30.271416,28.358263,26.454295,272.005021,0.894426,3.055402,5.657304,7.165476,8.601665,12.323536,13.084680,15.014382,65.796871
o2,o2_t1_cs_d2,40.400546,39.975502,38.488541,32.977163,30.971806,28.346578,26.319362,23.731214,261.210712,0.582333,2.230483,3.639317,5.212220,6.705937,9.041014,8.117250,10.350466,45.879020
o2,o2_t2_ap_d1,36.990535,35.706267,32.064626,26.792975,24.535884,21.739423,19.749666,18.134080,215.713457,0.205817,1.294753,2.357868,4.083630,5.574241,8.971396,10.808214,14.063490,47.359408
o2,o2_t2_ap_d2,42.806789,44.649546,43.468142,39.151584,37.726877,35.262666,33.939303,31.142370,308.147278,0.557297,1.601719,3.119530,4.777368,6.107731,8.492027,9.280172,10.420258,44.356103
o2,o2_t2_rp_d1,34.149618,35.929893,35.276653,31.518747,30.244154,27.875099,26.574620,25.153929,246.722713,0.987274,3.508795,6.472209,9.168565,10.811433,13.116980,10.946644,12.209373,67.221273
o2,o2_t2_rp_d2,32.352603,31.742283,29.433202,24.873293,22.566113,20.145658,18.538919,16.734108,196.386180,0.972423,3.858236,4.523484,5.214008,4.888429,5.031368,4.634501,5.756233,34.878682
o2,o2_t2_mf_d1,40.855974,41.993929,40.454917,35.252834,34.220142,31.401614,29.474151,27.097810,280.751370,1.005571,3.807936,6.108194,8.053759,9.231163,10.955115,10.809374,12.419532,62.390645
o2,o2_t2_mf_d2,39.549169,38.562075,36.888441,31.688448,29.424101,26.716829,24.700938,22.424743,249.954743,0.620955,2.257529,3.666700,5.681751,7.016233,8.701701,8.250296,10.743731,46.938897
o3,o3_t1_cs_d1,21.810192,21.587292,19.849239,16.404918,15.362092,13.735202,12.495947,11.515290,132.760172,1.240712,4.484697,8.670268,12.697104,11.039798,15.599719,13.816231,14.571197,82.119726
o3,o3_t1_cs_d2,21.686957,21.113829,19.629038,16.792627,15.047762,13.672833,12.218367,11.385695,131.547108,1.353892,7.503697,11.440210,15.583444,14.968629,25.191735,21.141219,22.008282,119.191109
o3,o3_t2_ap_d1,22.883806,22.148889,19.887669,17.092768,15.109328,13.367287,11.930255,10.916677,133.336678,1.815686,8.345999,12.310997,16.691001,15.853200,22.431610,17.438502,20.889708,115.776704
o3,o3_t2_ap_d2,15.071110,14.075428,12.875385,10.334430,8.886481,8.318331,7.230368,6.753073,83.544606,0.874334,3.032951,4.747670,5.692599,5.224310,8.462414,7.596093,8.949423,44.579792
o3,o3_t2_rp_d1,22.322147,19.032433,16.685836,12.467382,10.817201,9.365806,8.324268,7.786373,106.801446,0.195592,0.610081,1.494452,3.836957,4.260245,4.551195,5.392299,6.917732,27.258555
o3,o3_t2_rp_d2,23.725819,21.329038,19.638168,16.423965,15.016985,13.522939,12.769481,11.657519,134.083913,0.464183,2.318592,3.952993,5.971777,6.319381,6.979012,7.069493,6.926300,40.001733
o3,o3_t2_mf_d1,18.604485,18.122560,15.684878,13.034172,11.715518,10.674149,9.492427,9.182010,106.510198,0.888829,3.155604,4.767661,5.617604,4.987682,7.675541,6.544611,7.318899,40.956430
o3,o3_t2_mf_d2,16.527747,15.600416,12.836013,10.434398,8.627562,7.757717,6.609451,5.778914,84.172218,1.293470,5.032322,7.473473,9.605879,8.755775,14.238186,11.341888,12.848350,70.589345
o4,o4_t1_cs_d1,36.076775,36.620293,35.000483,30.464158,29.031860,27.554862,25.988572,24.548924,245.285926,1.763790,5.731757,7.693177,10.125632,11.217563,14.244534,15.177137,17.646812,83.600402
o4,o4_t1_cs_d2,24.826388,24.777074,23.472837,20.340507,19.326042,18.718063,17.784322,17.173156,166.418389,1.732059,5.658758,11.496615,17.642889,17.857950,18.906488,18.634115,19.309183,111.238056
o4,o4_t2_ap_d1,38.938047,39.390253,38.918258,34.335516,34.054478,32.703142,30.646237,29.515183,278.501112,0.931984,3.093114,5.002086,8.661558,9.619209,13.333905,16.023270,19.821232,76.486358
o4,o4_t2_ap_d2,26.285516,25.273532,23.350458,19.244157,17.614129,15.449960,14.040331,12.753220,154.011304,1.993175,6.661707,9.296718,12.250379,12.586347,17.359543,17.459609,17.894331,95.501809
o4,o4_t2_rp_d1,21.698524,20.831642,20.060864,16.927152,16.337741,15.561004,14.272893,13.476421,139.166241,0.584924,1.945944,2.826482,3.986662,4.432148,5.040258,6.360186,8.174763,33.351367
o4,o4_t2_rp_d2,27.396608,27.225541,25.896579,21.822446,20.906657,19.510056,18.061326,16.821406,177.640620,1.586622,5.057887,6.659262,10.362799,12.080804,13.909145,13.932119,13.768626,77.357262
o4,o4_t2_mf_d1,24.753594,24.475556,23.612055,20.472465,19.784647,19.002017,17.991362,17.280474,167.372168,1.184679,3.640747,5.766444,9.424354,12.162447,14.241081,15.692124,16.418835,78.530710
o4,o4_t2_mf_d2,37.368987,38.714008,36.521147,32.640518,31.505682,29.879240,26.618174,25.998924,259.246680,2.811356,8.782859,11.567616,18.875409,18.430082,24.679543,21.601760,21.609076,128.357702
o5,o5_t1_cs_d1,32.652204,32.102768,29.889820,25.759360,24.165747,21.382472,19.759379,17.272991,202.984741,1.206126,4.866540,7.664228,10.585994,10.062681,14.016609,13.032970,14.334678,75.769826
o5,o5_t1_cs_d2,42.867592,42.845786,40.427147,35.441487,34.523569,32.581283,31.396066,29.788529,289.871460,1.381849,5.677462,9.309870,11.111951,12.540591,18.678702,18.965761,23.585870,101.252056
o5,o5_t2_ap_d1,18.095685,16.152270,13.279153,10.410568,8.572905,7.580334,6.459261,5.805051,86.355226,0.577418,1.883030,3.510805,5.059248,4.412939,6.818364,5.663363,6.124880,34.050047
o5,o5_t2_ap_d2,35.512610,34.938415,32.103296,27.567730,26.364624,23.702172,22.327020,21.029969,223.545836,0.461881,1.392017,4.283655,7.069713,7.520034,10.864604,12.973049,15.989823,60.554776
o5,o5_t2_rp_d1,30.968736,29.974785,26.773865,22.528152,20.471008,17.436517,15.193091,13.327528,176.673682,0.546485,1.797033,2.531258,3.747763,5.085195,5.218094,5.761538,6.319460,31.006826
o5,o5_t2_rp_d2,31.400573,30.962885,28.793076,24.843124,23.095201,20.240038,18.420040,16.459487,194.214425,0.440462,1.860751,3.878245,6.215312,5.256123,6.911978,7.149972,8.023994,39.736837
o5,o5_t2_mf_d1,32.438055,33.072438,31.210982,28.329103,27.404013,25.928269,24.800394,23.839036,227.022292,0.756589,2.105211,3.975773,4.664355,4.903944,6.044243,7.479133,8.677696,38.606944
o5,o5_t2_mf_d2,40.417347,42.120686,40.833708,37.252117,36.460708,34.508959,33.280183,31.189128,296.062835,1.400059,5.422336,8.931659,11.655293,12.879719,18.981484,19.604229,22.844473,101.719253
o6,o6_t1_cs_d1,13.265330,11.191263,9.375744,7.516256,6.694518,5.764297,5.147627,4.470482,63.425517,0.354806,1.194005,2.427508,3.378249,3.642653,4.703130,4.189046,4.596062,24.485460
o6,o6_t1_cs_d2,24.792030,24.064856,22.830184,19.989642,18.681134,17.654651,16.581745,15.641418,160.235659,0.740796,2.840803,6.686937,9.282619,8.284154,9.173043,9.452416,10.545756,57.006524
