Target,Comparison,LogP(SK_c|S_t),LogP(S_t|SK_c),LogP(SK_c),LogP(SK_t|S_c),LogP(S_c|SK_t),LogP(SK_t),LogP(SK_t|S_t),LogP(SK_c|S_c)
o1,o1_t1_cs_d1,-22159969860.444820,-22159967043.184048,-2817.260774,-28072530524.802017,-28072527294.618443,-3230.183573,-431652643.621872,-321698677.645788
o1,o1_t1_cs_d2,-18575920866.417286,-18575917635.610348,-3230.806937,-22055406768.424175,-22055403538.240601,-3230.183573,-431652643.621872,-396744344.254652
o1,o1_t2_ap_d1,-6557474239.057807,-6557471021.415833,-3217.641973,-50461491332.513351,-50461488102.329781,-3230.183573,-431652643.621872,-102240320.234062
o1,o1_t2_ap_d2,-12991406273.716551,-12991403773.349276,-2500.367274,-24693685053.408653,-24693681823.225079,-3230.183573,-431652643.621872,-380395244.766045
o1,o1_t2_mf_d1,-8444827962.370461,-8444825464.620095,-2497.750365,-46393744292.443565,-46393741062.259995,-3230.183573,-431652643.621872,-56584104.587252
o1,o1_t2_mf_d2,-6979003305.906903,-6979000099.116564,-3206.790339,-15905470086.491343,-15905466856.307770,-3230.183573,-431652643.621872,-385959888.218915
o1,o1_t2_rp_d1,-18854685952.698532,-18854683791.459538,-2161.238994,-16117771316.512131,-16117768086.328558,-3230.183573,-431652643.621872,-379385337.119511
o1,o1_t2_rp_d2,-15947878473.750250,-15947875258.638607,-3215.111642,-43273299579.139153,-43273296348.955582,-3230.183573,-431652643.621872,-133199284.549549
o2,o2_t1_cs_d1,-9780516319.230261,-9780514516.014296,-1803.215966,-46042072029.205254,-46042068435.250221,-3593.955030,-270325526.217217,-841364729.755600
o2,o2_t1_cs_d2,-21460779516.093327,-21460775121.058357,-4395.034968,-29218933547.868076,-29218929953.913048,-3593.955030,-270325526.217217,-266248687.423387
o2,o2_t2_ap_d1,-24910624278.201466,-24910620695.340240,-3582.861227,-22923447617.919209,-22923444023.964180,-3593.955030,-270325526.217217,-447769808.091150
o2,o2_t2_ap_d2,-19756758549.123627,-19756755369.378376,-3179.745251,-40482424341.881966,-40482420747.926933,-3593.955030,-270325526.217217,-11418196.259715
o2,o2_t2_mf_d1,-32577071117.237247,-32577067936.456619,-3180.780629,-24664556996.371914,-24664553402.416885,-3593.955030,-270325526.217217,-434928369.247641
o2,o2_t2_mf_d2,-22056633498.184978,-22056629152.216587,-4345.968391,-29842943827.915665,-29842940233.960636,-3593.955030,-270325526.217217,-553000384.327157
o2,o2_t2_rp_d1,-9087834252.698723,-9087832448.664650,-1804.034072,-43185816902.193626,-43185813308.238594,-3593.955030,-270325526.217217,-161230704.121286
o2,o2_t2_rp_d2,-27972486136.126347,-27972483653.999763,-2482.126583,-17177107738.898153,-17177104144.943123,-3593.955030,-270325526.217217,-810874857.611019
o3,o3_t1_cs_d1,-45465393595.180588,-45465391448.302040,-2146.878551,-7341151036.243781,-7341149602.983315,-1433.260466,-140599688.125131,-1081055113.293394
o3,o3_t1_cs_d2,-49280979216.632355,-49280976725.635536,-2490.996819,-6287043527.672790,-6287042094.412323,-1433.260466,-140599688.125131,-554496640.284179
o3,o3_t2_ap_d1,-42223164807.010490,-42223163022.727509,-1784.282984,-4121466594.835597,-4121465161.575130,-1433.260466,-140599688.125131,-1631452832.431511
o3,o3_t2_ap_d2,-11976663470.312506,-11976662392.445301,-1077.867205,-22780665281.349171,-22780663848.088703,-1433.260466,-140599688.125131,-31206115.417633
o3,o3_t2_mf_d1,-13885627405.066889,-13885625957.755363,-1447.311526,-21926987245.758099,-21926985812.497631,-1433.260466,-140599688.125131,-25249.040375
o3,o3_t2_mf_d2,-11410165987.802011,-11410163828.552410,-2159.249601,-21894779740.770012,-21894778307.509544,-1433.260466,-140599688.125131,-2392334466.349237
o3,o3_t2_rp_d1,-999576079.864457,-999574671.013919,-1408.850538,-19752817292.284325,-19752815859.023857,-1433.260466,-140599688.125131,-76630896.904598
o3,o3_t2_rp_d2,-44612495825.555717,-44612494042.743340,-1782.812375,-2791321796.191128,-2791320362.930661,-1433.260466,-140599688.125131,-975124848.170555
o4,o4_t1_cs_d1,-44241939027.454025,-44241937241.925232,-1785.528794,-13155335670.286419,-13155332845.839695,-2824.446724,-12421.399597,-975078633.188381
o4,o4_t1_cs_d2,-41052176298.274086,-41052174139.014725,-2159.259361,-7591431873.835546,-7591429049.388822,-2824.446724,-12421.399597,-210224305.567558
o4,o4_t2_ap_d1,-44738211555.356354,-44738209423.820320,-2131.536030,-12857713868.102514,-12857711043.655790,-2824.446724,-12421.399597,-760554412.114839
o4,o4_t2_ap_d2,-45487006381.976997,-45487004226.518364,-2155.458630,-6915952986.609298,-6915950162.162574,-2824.446724,-12421.399597,-533655701.201681
o4,o4_t2_mf_d1,-37199719871.534294,-37199717716.967262,-2154.567032,-16422470164.394384,-16422467339.947660,-2824.446724,-12421.399597,-194026242.418843
o4,o4_t2_mf_d2,-16444895001.077482,-16444893578.218861,-1422.858622,-21514364760.687393,-21514361936.240669,-2824.446724,-12421.399597,-17778.516464
o4,o4_t2_rp_d1,-9791206393.827604,-9791204542.010344,-1851.817261,-15271535071.902138,-15271532247.455414,-2824.446724,-12421.399597,-353712820.953116
o4,o4_t2_rp_d2,-36010934527.628815,-36010933450.139397,-1077.489421,-7807875546.532037,-7807872722.085313,-2824.446724,-12421.399597,-984802128.672900
o5,o5_t1_cs_d1,-32160631269.799786,-32160629130.454620,-2139.345163,-28582427299.994965,-28582425150.186161,-2149.808802,-472102934.812518,-530878352.302642
o5,o5_t1_cs_d2,-28515648924.019745,-28515646056.453026,-2867.566719,-28601347174.060268,-28601345024.251465,-2149.808802,-472102934.812518,-178366544.608883
o5,o5_t2_ap_d1,-20134735201.981331,-20134733365.597569,-1836.383764,-17345152379.894863,-17345150230.086060,-2149.808802,-472102934.812518,-676512915.719730
o5,o5_t2_ap_d2,-11712759255.278625,-11712755728.944782,-3526.333843,-39185065455.226021,-39185063305.417221,-2149.808802,-472102934.812518,-1675902649.369012
o5,o5_t2_mf_d1,-11718100337.038303,-11718097854.986481,-2482.051823,-41320716560.925255,-41320714411.116455,-2149.808802,-472102934.812518,-18769.471003
o5,o5_t2_mf_d2,-25946309481.677036,-25946306598.731613,-2882.945425,-24372400018.292034,-24372397868.483231,-2149.808802,-472102934.812518,-193774541.404521
o5,o5_t2_rp_d1,-14984899143.885553,-14984897370.439999,-1773.445554,-8600296921.769087,-8600294771.960285,-2149.808802,-472102934.812518,-821953503.577237
o5,o5_t2_rp_d2,-26102568119.972797,-26102564952.930626,-3167.042171,-10658109095.909040,-10658106946.100239,-2149.808802,-472102934.812518,-231679026.697391
o6,o6_t1_cs_d1,-28759214613.660595,-28759211370.796379,-3242.864214,-15075765507.709110,-15075763358.965828,-2148.743283,-186139733.972284,-130258512.168637
o6,o6_t1_cs_d2,-16146543332.806507,-16146541919.758705,-1413.047801,-21878354315.676094,-21878352166.932812,-2148.743283,-186139733.972284,-11433.350644
o6,o6_t2_ap_d1,-46177433401.838097,-46177429796.274010,-3605.564091,-18297544312.809120,-18297542164.065838,-2148.743283,-186139733.972284,-200246873.551108
o6,o6_t2_ap_d2,-15934553734.874300,-15934551935.414375,-1799.459925,-23515359902.386654,-23515357753.643372,-2148.743283,-186139733.972284,-41099835.789643
o6,o6_t2_mf_d1,-19438082879.067047,-19438080300.708561,-2578.358487,-23464070461.403500,-23464068312.660217,-2148.743283,-186139733.972284,-39753962.406566
o6,o6_t2_mf_d2,-25420403434.189110,-25420401307.520981,-2126.668130,-16354252810.521757,-16354250661.778475,-2148.743283,-186139733.972284,-163787868.925603
o6,o6_t2_rp_d1,-16481059158.326504,-16481056944.633934,-2213.692570,-24874218041.901775,-24874215893.158493,-2148.743283,-186139733.972284,-14612.406102
o6,o6_t2_rp_d2,-3589607839.401467,-3589605705.203781,-2134.197686,-9284781676.119888,-9284779527.376606,-2148.743283,-186139733.972284,-11342.188064
o7,o7_t1_cs_d1,-19974574319.829727,-19974571498.509129,-2821.320600,-15294610837.201141,-15294608278.258610,-2558.942531,-296001939.372164,-480716105.004156
o7,o7_t1_cs_d2,-9196452508.800230,-9196448921.995270,-3586.804960,-50317102818.420876,-50317100259.478348,-2558.942531,-296001939.372164,-110225092.823084
o7,o7_t2_ap_d1,-8919234934.153320,-8919232033.346058,-2900.807263,-48601570874.009727,-48601568315.067200,-2558.942531,-296001939.372164,-14760.657333
o7,o7_t2_ap_d2,-6452093062.387514,-6452090173.231079,-2889.156435,-51142960779.345543,-51142958220.403015,-2558.942531,-296001939.372164,-14266.664352
o7,o7_t2_mf_d1,-3828245430.115421,-3828243271.537065,-2158.578356,-49042837053.822235,-49042834494.879707,-2558.942531,-296001939.372164,-15971.722733
o7,o7_t2_mf_d2,-9171409939.160276,-9171406666.476429,-3272.683848,-4649085005.758286,-4649082446.815755,-2558.942531,-296001939.372164,-371041245.512204
o7,o7_t2_rp_d1,-8792690882.701645,-8792689070.583088,-1812.118557,-46291112463.335327,-46291109904.392799,-2558.942531,-296001939.372164,-19885.088218
o7,o7_t2_rp_d2,-22688369294.089977,-22688366039.041859,-3255.048118,-13587131082.357775,-13587128523.415243,-2558.942531,-296001939.372164,-957403212.389545
o8,o8_t1_cs_d1,-42972142454.602684,-42972138927.412277,-3527.190410,-16362558408.750416,-16362557313.442331,-1095.308084,-133206240.985828,-452907440.170767
o8,o8_t1_cs_d2,-46722359644.913872,-46722357530.523499,-2114.390375,-5560416168.783308,-5560415073.475224,-1095.308084,-133206240.985828,-835466662.311495
o8,o8_t2_ap_d1,-16596359109.252779,-16596356269.054914,-2840.197865,-23697382429.730984,-23697381334.422901,-1095.308084,-133206240.985828,-13404.508259
o8,o8_t2_ap_d2,-48503413457.792160,-48503410623.558899,-2834.233262,-7185089129.368788,-7185088034.060704,-1095.308084,-133206240.985828,-261909521.722082
o8,o8_t2_mf_d1,-9797872974.975046,-9797872622.253557,-352.721489,-28996623691.012684,-28996622595.704601,-1095.308084,-133206240.985828,-10552.984035
o8,o8_t2_mf_d2,-41004503949.675751,-41004501808.995010,-2140.680738,-16037742679.650381,-16037741584.342297,-1095.308084,-133206240.985828,-1141947892.166703
o8,o8_t2_rp_d1,-48355352756.967842,-48355350227.319328,-2529.648510,-7051587331.650645,-7051586236.342562,-1095.308084,-133206240.985828,-284382590.902367
o8,o8_t2_rp_d2,-8757380986.527641,-8757379925.806862,-1060.720779,-14355548191.258810,-14355547095.950726,-1095.308084,-133206240.985828,-18286308.490267
o9,o9_t1_cs_d1,-28020278438.862152,-28020275895.224541,-2543.637610,-31974883971.212086,-31974881810.443951,-2160.768135,-1075110481.734918,-635040878.380026
o9,o9_t1_cs_d2,-19733470442.932930,-19733467578.432549,-2864.500380,-40615861324.048569,-40615859163.280434,-2160.768135,-1075110481.734918,-794339206.570247
o9,o9_t2_ap_d1,-9680593124.390827,-9680590595.407366,-2528.983461,-50430165513.272713,-50430163352.504578,-2160.768135,-1075110481.734918,-90715575.283412
o9,o9_t2_ap_d2,-10388568109.564320,-10388565287.749443,-2821.814877,-51809145108.691978,-51809142947.923843,-2160.768135,-1075110481.734918,-9435977.626741
o9,o9_t2_mf_d1,-14385225552.772614,-14385224143.150723,-1409.621891,-46445631700.389359,-46445629539.621223,-2160.768135,-1075110481.734918,-145488675.010989
o9,o9_t2_mf_d2,-5562421370.685618,-5562419254.262449,-2116.423169,-51897925022.877533,-51897922862.109398,-2160.768135,-1075110481.734918,-618629271.232139
o9,o9_t2_rp_d1,-18349365480.190563,-18349362624.850838,-2855.339726,-49181468074.237289,-49181465913.469154,-2160.768135,-1075110481.734918,-19050.466649
o9,o9_t2_rp_d2,-20483328723.262989,-20483326131.017307,-2592.245682,-34846877030.080101,-34846874869.311966,-2160.768135,-1075110481.734918,-693273778.236206
o10,o10_t1_cs_d1,-18665031522.342220,-18665029754.073780,-1768.268439,-33718775998.815891,-33718773512.804497,-2486.011394,-703106137.948058,-900998165.620048
o10,o10_t1_cs_d2,-11943135501.459230,-11943132606.435154,-2895.024077,-20118642935.820538,-20118640449.809143,-2486.011394,-703106137.948058,-311375563.990135
o10,o10_t2_ap_d1,-11533622427.297405,-11533619587.754208,-2839.543198,-28643122875.200005,-28643120389.188610,-2486.011394,-703106137.948058,-506457024.884758
o10,o10_t2_ap_d2,-12205815389.580772,-12205812169.154554,-3220.426218,-41771474459.615662,-41771471973.604271,-2486.011394,-703106137.948058,-123045985.326088
o10,o10_t2_mf_d1,-12324302258.931984,-12324299430.065702,-2828.866282,-22551007307.719196,-22551004821.707802,-2486.011394,-703106137.948058,-1388620952.472193
o10,o10_t2_mf_d2,-10775282073.706814,-10775279955.963402,-2117.743412,-32285284818.416077,-32285282332.404682,-2486.011394,-703106137.948058,-496903779.132651
o10,o10_t2_rp_d1,-4086876707.198413,-4086874562.277778,-2144.920635,-20314033301.116081,-20314030815.104687,-2486.011394,-703106137.948058,-485186093.684172
