   Target    Comparison      Distance  DistanceInverted
0      o1   o1_t1_cs_d1  20416.115340      44992.683968
1      o1   o1_t1_cs_d2   8035.028328      42048.536978
2      o1   o1_t2_ap_d1   5486.128766      38258.652549
3      o1   o1_t2_ap_d2  16372.248858      41499.669158
4      o1   o1_t2_mf_d1  14431.922445      43721.526736
5      o1   o1_t2_mf_d2   6602.777439      46518.823806
6      o1   o1_t2_rp_d1  10943.508420      49213.895317
7      o1   o1_t2_rp_d2  26277.386851      25304.389573
8      o2   o2_t1_cs_d1  31902.595294      18846.460115
9      o2   o2_t1_cs_d2  28966.859239      23928.521522
10     o2   o2_t2_ap_d1  23021.892457      21075.341638
11     o2   o2_t2_ap_d2  36970.948927      33730.882261
12     o2   o2_t2_mf_d1  29652.774579      23132.872111
13     o2   o2_t2_mf_d2  26452.528258      23193.176055
14     o2   o2_t2_rp_d1  28102.572134      22042.584498
15     o2   o2_t2_rp_d2  18313.814902      20995.797278
16     o3   o3_t1_cs_d1  11008.030450      12689.370334
17     o3   o3_t1_cs_d2   9151.593864      12949.053933
18     o3   o3_t2_ap_d1   8760.799123      13670.885629
19     o3   o3_t2_ap_d2   5406.588512      12517.895732
20     o3   o3_t2_mf_d1   8786.893749       5893.522030
21     o3   o3_t2_mf_d2   4718.278016      12046.500300
22     o3   o3_t2_rp_d1  10309.871234      10797.272618
23     o3   o3_t2_rp_d2  13247.783299      14721.561384
24     o4   o4_t1_cs_d1  36835.322076      39239.935456
25     o4   o4_t1_cs_d2  14278.106805      20631.356448
26     o4   o4_t2_ap_d1  30410.574072      28575.696424
27     o4   o4_t2_ap_d2  12224.125352      28146.391465
28     o4   o4_t2_mf_d1  29092.206413      33430.367059
29     o4   o4_t2_mf_d2  30339.392710      19664.405629
30     o4   o4_t2_rp_d1  14541.362584      15447.765213
31     o4   o4_t2_rp_d2  18529.198016      20983.486044
32     o5   o5_t1_cs_d1  21361.475525      45954.603922
33     o5   o5_t1_cs_d2  30075.916078      26717.174164
34     o5   o5_t2_ap_d1   8453.122768      37767.943714
35     o5   o5_t2_ap_d2  21753.153172      31797.308235
36     o5   o5_t2_mf_d1  19324.268743      23446.903529
37     o5   o5_t2_mf_d2  29851.420900      24664.194095
38     o5   o5_t2_rp_d1  15785.627912      27689.344729
39     o5   o5_t2_rp_d2  17777.371349      29349.044614
40     o6   o6_t1_cs_d1   4053.508512      21826.102745
41     o6   o6_t1_cs_d2  12384.236770      19267.120738
42     o6   o6_t2_ap_d1  21992.187543      23447.588512
43     o6   o6_t2_ap_d2  20096.856609      22240.316401
44     o6   o6_t2_mf_d1  22688.140208      24446.524337
45     o6   o6_t2_mf_d2  19628.047290       7228.492088
46     o6   o6_t2_rp_d1  16947.060254      11412.954187
47     o6   o6_t2_rp_d2   1456.254072      21203.821038
48     o7   o7_t1_cs_d1  30737.802537      35526.673310
49     o7   o7_t1_cs_d2  18375.887474      23331.457993
50     o7   o7_t2_ap_d1  26950.657393      23937.626205
51     o7   o7_t2_ap_d2  20800.114694      32016.717463
52     o7   o7_t2_mf_d1  25141.617901      11471.815271
53     o7   o7_t2_mf_d2  26983.446136       7925.517093
54     o7   o7_t2_rp_d1  16762.419746      17645.263529
55     o7   o7_t2_rp_d2  22475.633679      21092.414118
56     o8   o8_t1_cs_d1  45140.791972      27795.275386
57     o8   o8_t1_cs_d2  26764.849458      19240.791926
58     o8   o8_t2_ap_d1  33705.025790      24675.085629
59     o8   o8_t2_ap_d2  18488.901038      22663.340577
60     o8   o8_t2_mf_d1  18270.236401      18086.336009
61     o8   o8_t2_mf_d2  40395.588743      17820.830081
62     o8   o8_t2_rp_d1  20633.002907      21556.863206
63     o8   o8_t2_rp_d2  11882.871742      23534.425283
64     o9   o9_t1_cs_d1  13658.356032      16300.187820
65     o9   o9_t1_cs_d2  18009.388235      13507.806736
66     o9   o9_t2_ap_d1  19046.547589      23134.408120
67     o9   o9_t2_ap_d2  19568.755663       7856.322860
68     o9   o9_t2_mf_d1  20102.500669      27497.618547
69     o9   o9_t2_mf_d2   7951.476909      17977.262837
70     o9   o9_t2_rp_d1  14843.488950      14802.879354
71     o9   o9_t2_rp_d2  13281.232941      20638.286228
72    o10  o10_t1_cs_d1  54528.959862      49232.151880
73    o10  o10_t1_cs_d2  39474.961753      19074.569412
74    o10  o10_t2_ap_d1  21362.835110      37335.155663
75    o10  o10_t2_ap_d2  33361.314971      40892.705559
76    o10  o10_t2_mf_d1   8642.864591      38995.981869
77    o10  o10_t2_mf_d2  32788.224960      19148.368581
78    o10  o10_t2_rp_d1  41458.747174      19573.937439
79    o10  o10_t2_rp_d2  29027.682261      23273.227036
