      Comparison1   Comparison2  VP_Prediction
0     o1_t1_cs_d1   o1_t1_cs_d2              0
1     o1_t1_cs_d1   o1_t2_ap_d1              0
2     o1_t1_cs_d1   o1_t2_ap_d2              0
3     o1_t1_cs_d1   o1_t2_mf_d1              0
4     o1_t1_cs_d1   o1_t2_mf_d2              0
5     o1_t1_cs_d1   o1_t2_rp_d1              0
6     o1_t1_cs_d1   o1_t2_rp_d2              1
7     o1_t1_cs_d2   o1_t2_ap_d1              0
8     o1_t1_cs_d2   o1_t2_ap_d2              1
9     o1_t1_cs_d2   o1_t2_mf_d1              0
10    o1_t1_cs_d2   o1_t2_mf_d2              0
11    o1_t1_cs_d2   o1_t2_rp_d1              0
12    o1_t1_cs_d2   o1_t2_rp_d2              1
13    o1_t2_ap_d1   o1_t2_ap_d2              1
14    o1_t2_ap_d1   o1_t2_mf_d1              1
15    o1_t2_ap_d1   o1_t2_mf_d2              1
16    o1_t2_ap_d1   o1_t2_rp_d1              1
17    o1_t2_ap_d1   o1_t2_rp_d2              1
18    o1_t2_ap_d2   o1_t2_mf_d1              0
19    o1_t2_ap_d2   o1_t2_mf_d2              0
20    o1_t2_ap_d2   o1_t2_rp_d1              0
21    o1_t2_ap_d2   o1_t2_rp_d2              1
22    o1_t2_mf_d1   o1_t2_mf_d2              1
23    o1_t2_mf_d1   o1_t2_rp_d1              1
24    o1_t2_mf_d1   o1_t2_rp_d2              1
25    o1_t2_mf_d2   o1_t2_rp_d1              1
26    o1_t2_mf_d2   o1_t2_rp_d2              1
27    o1_t2_rp_d1   o1_t2_rp_d2              1
28    o2_t1_cs_d1   o2_t1_cs_d2              1
29    o2_t1_cs_d1   o2_t2_ap_d1              1
30    o2_t1_cs_d1   o2_t2_ap_d2              0
31    o2_t1_cs_d1   o2_t2_mf_d1              0
32    o2_t1_cs_d1   o2_t2_mf_d2              1
33    o2_t1_cs_d1   o2_t2_rp_d1              0
34    o2_t1_cs_d1   o2_t2_rp_d2              0
35    o2_t1_cs_d2   o2_t2_ap_d1              1
36    o2_t1_cs_d2   o2_t2_ap_d2              0
37    o2_t1_cs_d2   o2_t2_mf_d1              0
38    o2_t1_cs_d2   o2_t2_mf_d2              1
39    o2_t1_cs_d2   o2_t2_rp_d1              0
40    o2_t1_cs_d2   o2_t2_rp_d2              0
41    o2_t2_ap_d1   o2_t2_ap_d2              0
42    o2_t2_ap_d1   o2_t2_mf_d1              0
43    o2_t2_ap_d1   o2_t2_mf_d2              0
44    o2_t2_ap_d1   o2_t2_rp_d1              0
45    o2_t2_ap_d1   o2_t2_rp_d2              0
46    o2_t2_ap_d2   o2_t2_mf_d1              1
47    o2_t2_ap_d2   o2_t2_mf_d2              1
48    o2_t2_ap_d2   o2_t2_rp_d1              1
49    o2_t2_ap_d2   o2_t2_rp_d2              0
50    o2_t2_mf_d1   o2_t2_mf_d2              1
51    o2_t2_mf_d1   o2_t2_rp_d1              1
52    o2_t2_mf_d1   o2_t2_rp_d2              0
53    o2_t2_mf_d2   o2_t2_rp_d1              0
54    o2_t2_mf_d2   o2_t2_rp_d2              0
55    o2_t2_rp_d1   o2_t2_rp_d2              0
56    o3_t1_cs_d1   o3_t1_cs_d2              0
57    o3_t1_cs_d1   o3_t2_ap_d1              0
58    o3_t1_cs_d1   o3_t2_ap_d2              0
59    o3_t1_cs_d1   o3_t2_mf_d1              0
60    o3_t1_cs_d1   o3_t2_mf_d2              0
61    o3_t1_cs_d1   o3_t2_rp_d1              1
62    o3_t1_cs_d1   o3_t2_rp_d2              1
63    o3_t1_cs_d2   o3_t2_ap_d1              0
64    o3_t1_cs_d2   o3_t2_ap_d2              0
65    o3_t1_cs_d2   o3_t2_mf_d1              0
66    o3_t1_cs_d2   o3_t2_mf_d2              0
67    o3_t1_cs_d2   o3_t2_rp_d1              1
68    o3_t1_cs_d2   o3_t2_rp_d2              1
69    o3_t2_ap_d1   o3_t2_ap_d2              0
70    o3_t2_ap_d1   o3_t2_mf_d1              0
