      Comparison1   Comparison2  TE_DfPS_Prediction  TE_DfP_Prediction  TE_DfS_Prediction  TE_NoCond_Prediction  TE_OnlyDF_Prediction  TE_OnlyP_Prediction  TE_OnlyS_Prediction  TE_VolD_Prediction  TE_VolI_Prediction  VOL_IntDifference_Prediction  VOL_IntDifference_Uncertain_Prediction  VOL_IntRatio_Prediction  VOL_IntRatio_Uncertain_Prediction  VOL_Intersection_Prediction  VOL_Intersection_Uncertain_Prediction
0     o1_t1_cs_d1   o1_t1_cs_d2                 0.0                0.0                0.5                   0.5                   0.5                  0.0                  0.5                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
1     o1_t1_cs_d1   o1_t2_mf_d1                 0.5                0.5                0.5                   0.5                   1.0                  0.5                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
2     o1_t1_cs_d1   o1_t2_mf_d2                 0.0                0.0                0.5                   0.5                   1.0                  0.0                  0.0                   1                 0.0                             1                                       1                        1                                  1                            1                                      1
3     o1_t1_cs_d1   o1_t2_ap_d1                 0.0                0.0                0.5                   1.0                   1.0                  0.0                  0.5                   0                 0.0                             0                                       1                        0                                  1                            0                                      1
4     o1_t1_cs_d1   o1_t2_ap_d2                 0.0                0.0                0.5                   1.0                   1.0                  0.0                  0.5                   0                 0.0                             0                                       0                        0                                  0                            0                                      1
5     o1_t1_cs_d1   o1_t2_rp_d1                 0.5                0.5                1.0                   1.0                   1.0                  0.5                  1.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
6     o1_t1_cs_d1   o1_t2_rp_d2                 0.0                0.0                0.5                   1.0                   1.0                  0.0                  0.5                   0                 0.0                             0                                       1                        0                                  1                            1                                      1
7     o1_t1_cs_d2   o1_t1_cs_d1                 1.0                1.0                0.5                   0.5                   0.5                  1.0                  0.5                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
8     o1_t1_cs_d2   o1_t2_mf_d1                 1.0                1.0                0.5                   0.5                   1.0                  1.0                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
9     o1_t1_cs_d2   o1_t2_mf_d2                 0.5                0.5                0.5                   0.5                   1.0                  0.5                  0.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
10    o1_t1_cs_d2   o1_t2_ap_d1                 0.5                0.5                0.5                   1.0                   1.0                  0.5                  0.5                   1                 1.0                             1                                       1                        1                                  1                            0                                      1
11    o1_t1_cs_d2   o1_t2_ap_d2                 0.5                0.5                0.5                   1.0                   1.0                  0.5                  0.5                   0                 1.0                             0                                       0                        0                                  0                            1                                      1
12    o1_t1_cs_d2   o1_t2_rp_d1                 1.0                1.0                1.0                   1.0                   1.0                  1.0                  1.0                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
13    o1_t1_cs_d2   o1_t2_rp_d2                 0.5                0.5                0.5                   1.0                   1.0                  0.5                  0.5                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
14    o1_t2_mf_d1   o1_t1_cs_d1                 0.5                0.5                0.5                   0.5                   0.0                  0.5                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
15    o1_t2_mf_d1   o1_t1_cs_d2                 0.0                0.0                0.5                   0.5                   0.0                  0.0                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
16    o1_t2_mf_d1   o1_t2_mf_d2                 0.0                0.0                0.5                   0.5                   0.5                  0.0                  0.5                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
17    o1_t2_mf_d1   o1_t2_ap_d1                 0.0                0.0                0.5                   1.0                   0.5                  0.0                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
18    o1_t2_mf_d1   o1_t2_ap_d2                 0.0                0.0                0.5                   1.0                   0.5                  0.0                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
19    o1_t2_mf_d1   o1_t2_rp_d1                 0.5                0.5                1.0                   1.0                   1.0                  0.5                  1.0                   0                 1.0                             0                                       0                        0                                  0                            1                                      1
20    o1_t2_mf_d1   o1_t2_rp_d2                 0.0                0.0                0.5                   1.0                   0.5                  0.0                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
21    o1_t2_mf_d2   o1_t1_cs_d1                 1.0                1.0                0.5                   0.5                   0.0                  1.0                  1.0                   0                 1.0                             0                                       0                        0                                  0                            0                                      0
22    o1_t2_mf_d2   o1_t1_cs_d2                 0.5                0.5                0.5                   0.5                   0.0                  0.5                  1.0                   0                 0.0                             0                                       0                        0                                  0                            0                                      0
23    o1_t2_mf_d2   o1_t2_mf_d1                 1.0                1.0                0.5                   0.5                   0.5                  1.0                  0.5                   1                 1.0                             1                                       1                        1                                  1                            1                                      1
